ID,location,lat,lon
1,"Tumu, Wa, Ghana",10.8493,-2.1151
2,"Aboabo, Aboabo, Ghana",6.6935,-1.6194
3,"Saltpond, Cape Coast, Ghana",5.2074,-1.0638
4,"Orlu, Orlu, Nigeria",5.7877,7.0319
5,"Diffa, Diffa, Niger",13.3153,12.6113
6,"Miri, Bauchi, Nigeria",10.2979,9.8328
7,"Aflao, Aflao, Ghana",6.1258,1.1961
8,"Niame, Niamey, Niger",13.5116,2.1253
9,"Techaoudjo, Sokode, Togo",8.9833,1.1167
10,"Kpalime, Kpalime, Togo",6.9003,0.6338
11,"Abomey, Abomey, Benin",7.1833,1.9833
12,"Agbara, Agbara, Nigeria",6.5455,3.0572
13,"Obo Kwahu, Obo, Ghana",6.5577,-0.6934
14,"Abakalliki, Abakaliki, Nigeria",6.3249,8.1137
15,"Agbani, Agbani, Nigeria",6.2782,7.5544
16,"Maradi, Maradi, Niger",13.4902,7.0975
17,"Ojo, Ilesa, Nigeria",7.6298,4.7618
18,"Allada, Allada, Benin",6.65,2.15
19,"Epe, Epe, Nigeria",6.5833,3.9833
20,"Aflao, Aflao, Togo",6.1258,1.1961
21,"Makueni, Wote, Kenya",-1.7794,37.6311
22,"nan, Goria, Uganda",-0.533,31.933
23,"nan, Kibaya, Rwanda",-1.6764,30.0677
24,"nan, Sagana, Kenya",-0.665,37.1973
25,"nan, Gucha, Kenya",-0.8,34.7167
26,"nan, Siaya Town, Kenya",0.0575,34.2882
27,"nan, Sabatia, Kenya",-0.3833,34.7
28,"nan, Ogembo, Kenya",-0.8086,34.7231
29,"nan, Voi, Kenya",-3.3808,38.5576
30,"nan, Mbaale, Uganda",0.75,34.3833
31,"nan, Machakos, Kenya",-1.5167,37.2667
32,"nan, Busia, Kenya",0.46,34.09
33,"nan, Kiambu, Kenya",-1.1667,36.8333
34,"nan, Malaba, Kenya",0.6406,34.2717
35,"nan, Gisambai, Kenya",0.05,34.95
36,"nan, Naivasha, Kenya",-0.7167,36.43
37,"nan, Makindu, Kenya",-2.2833,37.8167
38,"nan, Bondo, Kenya",-0.09,34.25
39,"nan, Bulambuli, Uganda",1.2833,34.3833
40,"nan, Ugunja, Kenya",0.1667,34.3086
41,"nan, Gombe, Uganda",-0.35,32.5833
42,"nan, Kangema, Kenya",-0.6333,36.95
43,"nan, Mwingi, Kenya",-0.9333,38.0667
44,"nan, Lwanda, Kenya",0.0828,34.4514
45,"nan, Githunguri, Kenya",-1.0667,36.8167
46,"nan, Kattio, Kenya",-0.55,36.9333
47,"nan, Bumala, Kenya",0.4136,34.2907
48,"nan, Nyamira, Kenya",-0.5667,34.9333
49,"nan, Funyula, Kenya",0.3796,34.1719
50,"nan, Kakamega, Kenya",0.2833,34.75
51,"nan, Sondu, Kenya",-0.42,35.1333
52,"Ngaramtoni, Tanzania",-3.3667,36.65
53,"nan, Awendo, Kenya",-0.9667,34.6667
54,"nan, Kisii, Kenya",-0.6667,34.7667
