location,lat,lon,UNWPP(people/km²),Response
"Tumu, Wa, Ghana", 10.8493, -2.1151, 17, City
"Aboabo, Aboabo, Ghana", 6.6935, -1.6194, 181, City
"Saltpond, Cape Coast, Ghana", 5.2074, -1.0638, 410, Village
"Orlu, Orlu, Nigeria", 5.7877, 7.0319, 1605, Village
"Diffa, Diffa, Niger", 13.3153, 12.6113, 31, City
"Miri, Bauchi, Nigeria", 10.2979, 9.8328, 186, City
"Aflao, Aflao, Ghana", 6.1258, 1.1961, 569, Village
"Niame, Niamey, Niger", 13.5116, 2.1253, 3747, Village
"Techaoudjo, Sokode, Togo", 8.9833, 1.1167, 90, City
"Kpalime, Kpalime, Togo", 6.9003, 0.6338, 317, Village
"Abomey, Abomey, Benin", 7.1833, 1.9833, 638, Village
"Agbara, Agbara, Nigeria", 6.5455, 3.0572, 4915, Village
"Obo Kwahu, Obo, Ghana", 6.5577, -0.6934, 113, City
"Abakalliki, Abakaliki, Nigeria", 6.3249, 8.1137, 390, Village
"Agbani, Agbani, Nigeria", 6.2782, 7.5544, 748, Village
"Maradi, Maradi, Niger", 13.4902, 7.0975, 7343, Village
"Ojo, Ilesa, Nigeria", 7.6298, 4.7618, 140, City
"Allada, Allada, Benin", 6.6500, 2.1500, 406, Village
"Epe, Epe, Nigeria", 6.5833, 3.9833, 766, Village
"Aflao, Aflao, Togo", 6.1258, 1.1961, 8087, Village
"Makueni, Wote, Kenya", -1.7794, 37.6311, 112, City
"nan, Goria, Uganda", -0.5330, 31.9330, 419, Village
"nan, Kibaya, Rwanda", -1.6764, 30.0677, 520, Village
"nan, Sagana, Kenya", -0.6650, 37.1973, 603, Village
"nan, Gucha, Kenya", -0.8000, 34.7167, 743, Village
"nan, Siaya Town, Kenya", 0.0575, 34.2882, 936, Village
"nan, Sabatia, Kenya", -0.3833, 34.7000, 1150, Village
"nan, Ogembo, Kenya", -0.8086, 34.7231, 1572, Village
"nan, Voi, Kenya", -3.3808, 38.5576, 339, Village
"nan, Mbaale, Uganda", 0.7500, 34.3833, 436, Village
"nan, Machakos, Kenya", -1.5167, 37.2667, 536, Village
"nan, Busia, Kenya", 0.4600, 34.0900, 625, Village
"nan, Kiambu, Kenya", -1.1667, 36.8333, 829, Village
"nan, Malaba, Kenya", 0.6406, 34.2717, 954, Village
"nan, Gisambai, Kenya", 0.0500, 34.9500, 1186, Village
"nan, Naivasha, Kenya", -0.7167, 36.4300, 1586, Village
"nan, Makindu, Kenya", -2.2833, 37.8167, 372, Village
"nan, Bondo, Kenya", -0.0900, 34.2500, 490, Village
"nan, Bulambuli, Uganda", 1.2833, 34.3833, 585, Village
"nan, Ugunja, Kenya", 0.1667, 34.3086, 702, Village
"nan, Gombe, Uganda", -0.3500, 32.5833, 857, Village
"nan, Kangema, Kenya", -0.6333, 36.9500, 966, Village
"nan, Mwingi, Kenya", -0.9333, 38.0667, 389, Village
"nan, Lwanda, Kenya", 0.0828, 34.4514, 495, Village
"nan, Githunguri, Kenya", -1.0667, 36.8167, 597, Village
"nan, Kattio, Kenya", -0.5500, 36.9333, 712, Village
"nan, Bumala, Kenya", 0.4136, 34.2907, 862, Village
"nan, Nyamira, Kenya", -0.5667, 34.9333, 1075, Village
"nan, Funyula, Kenya", 0.3796, 34.1719, 402, Village
"nan, Kakamega, Kenya", 0.2833, 34.7500, 509, Village
"nan, Sondu, Kenya", -0.4200, 35.1333, 601, Village
"Ngaramtoni, Tanzania", -3.3667, 36.6500, 716, Village
"nan, Awendo, Kenya", -0.9667, 34.6667, 869, Village
"nan, Kisii, Kenya", -0.6667, 34.7667, 1084, Village
"nan, Kisumu, Kenya", -0.0917, 34.7680, 1819, Village
"nan, Rabuor, Kenya", -0.1300, 34.8600, 2305, Village
"Baraka, Democratic Republic of the Congo", -4.0493, 29.4451, 4002, Village
"nan, Meru, Kenya", -0.0452, 37.6499, 4616, Village
"nan, Kimilili, Kenya", 0.7236, 34.7183, 1923, Village
"Migori Town, Kenya", -1.0645, 34.4731, 2330, Village
"nan, Maua, Kenya", 0.2333, 37.9333, 4120, Village
"nan, Karatina, Kenya", -0.4833, 37.1333, 5295, Village
"nan, Vihiga, Kenya", 0.0333, 34.7167, 2121, Village
