ID,originColor,9_lat,9_lon,9_location,100_lat,100_lon,100_location,202_lat,202_lon,202_location,202.1_lat,202.1_lon,202.1_location,202.2_lat,202.2_lon,202.2_location,202.3_lat,202.3_lon,202.3_location,202.4_lat,202.4_lon,202.4_location,206_lat,206_lon,206_location,211_lat,211_lon,211_location,214_lat,214_lon,214_location,215_lat,215_lon,215_location,nummoves
276785,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",34.4813935,0.3333086,"('Manyatta', 'Kisumu', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2
276788,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.734576,-0.509908,"('Oyugis', 'Oyugis', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3
276802,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.734576,-0.509908,"('Oyugis', 'Oyugis', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3
276814,Kenya,36.9169455,-1.2659842,"('Kayole', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",36.9751027,-1.4282775,"('London', 'Nakuru', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.807252,-1.228958,"('Lolgorien', 'Narok', 'Kenya')",35.5914203,-0.1673204,"('Londiani', 'Kericho', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3
276822,Kenya,36.9169455,-1.2659842,"('Kayole', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('nan', 'Kisumu', 'Kenya')",35.55,-0.2333,"('Kedowa', 'Kericho', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
276931,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
276932,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
276934,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",39.9833,-1.2,"('Pumwani', 'Nairobi', 'Kenya')",35.2833,-0.3666,"('Kericho', 'Kericho', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
276935,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",37.8771715,-2.2570931,"('Makueni', 'Wote', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
277079,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",37.3952698,-1.2790047,"('Machakos', 'Machakos', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2
