,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
0,0,Nairobi,"('Kisii', 'Kisii', 'Kenya')",15,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",0,Nairobi,Kenya,Kisii,Kisii,"('Kisii', 'Kisii', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
1,1,Nairobi,"('Kisii', 'Kisii', 'Kenya')",15,226.9554167277812,2.9221338783085686,34.75398551201732,-0.73894255,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",0,"('Kisii', 'Kisii', 'Kenya')",Kenya,Kisii,Kisii,"('Kisii', 'Kisii', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
2,2,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",13,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,Nairobi,Kenya,Kisumu,Kisumu,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
3,3,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",13,245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,"('Kisumu', 'Kisumu', 'Kenya')",Kenya,Kisumu,Kisumu,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
4,4,Nairobi,"('Machakos', 'Machakos', 'Kenya')",10,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",2,Nairobi,Kenya,Machakos,Machakos,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
5,5,Nairobi,"('Machakos', 'Machakos', 'Kenya')",10,71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",2,"('Machakos', 'Machakos', 'Kenya')",Kenya,Machakos,Machakos,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
6,6,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",8,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",3,Nairobi,Democratic Republic of the Congo,Uvira,Uvira,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,17,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",8,895.5754022189934,-2.929126818887537,29.00714088737295,-3.1982504,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",3,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Uvira,Uvira,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,17,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Nairobi,"('Siaya', 'Siaya', 'Kenya')",7,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",4,Nairobi,Kenya,Siaya,Siaya,"('Siaya', 'Siaya', 'Kenya')",Non-Urban Village,Non-Urban,Village,15,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Nairobi,"('Siaya', 'Siaya', 'Kenya')",7,303.8985468539849,2.763088603861669,34.20013500999629,-0.06040135,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",4,"('Siaya', 'Siaya', 'Kenya')",Kenya,Siaya,Siaya,"('Siaya', 'Siaya', 'Kenya')",Non-Urban Village,Non-Urban,Village,15,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
