,Unnamed: 0,ID,ID_ordered,location,dist,azimuth,lat,lon,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
0,0,276785,276785.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,291.1411954702797,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
1,4,276788,276788.0,"('Oyugis', 'Oyugis', 'Kenya')",234.34832489068643,2.8364748077358795,34.734576000000004,-0.509908,100,234.34832489068643,moves200,Oyugis,Oyugis,Kenya,Nairobi,Kawangware,Kenya,Male,-1,-3,-1,Yes,Luo,Swahili,-3,-1,-1,,,"('Oyugis', 'Oyugis', 'Kenya')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2,6,276802,276802.0,"('Oyugis', 'Oyugis', 'Kenya')",234.34832489068643,2.8364748077358795,34.734576000000004,-0.509908,100,234.34832489068643,moves200,Oyugis,Oyugis,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Dholuo,No,Yes,No,0.0,0.0,"('Oyugis', 'Oyugis', 'Kenya')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
3,8,276814,276814.0,"('Kisumu', 'Kisumu', 'Kenya')",261.96541434424176,2.7228677043580705,34.7541761,-0.1029108999999999,100,261.96541434424176,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
4,13,276822,276822.0,"('nan', 'Kisumu', 'Kenya')",261.96541434424176,2.7228677043580705,34.7541761,-0.1029108999999999,100,261.96541434424176,moves200,,Kisumu,Kenya,Nairobi,Kayole,Kenya,Female,Working part-time (formal/informal sector),1,-3,Yes,Luo,Dholuo,No,Yes,No,,,"('nan', 'Kisumu', 'Kenya')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,16,276931,276931.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,Yes,No,,,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
6,18,276932,276932.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,No,No,,,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
7,20,276934,276934.0,"('Pumwani', 'Nairobi', 'Kenya')",358.79075742427807,0.018690081248837,39.9833,-1.2,100,358.79075742427807,moves200,Pumwani,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),1,-3,Yes,Kikuyu,Kiswahili,No,Yes,No,,,"('Pumwani', 'Nairobi', 'Kenya')",Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24,276935,276935.0,"('Makueni', 'Wote', 'Kenya')",152.0807049784701,-0.6018446899346368,37.87717148162715,-2.25709305,100,152.0807049784701,moves200,Makueni,Wote,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Kamba,Kamba,No,Yes,No,,,"('Makueni', 'Wote', 'Kenya')",Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,27,277079,277079.0,"('Machakos', 'Machakos', 'Kenya')",71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,100,71.4290855789395,moves200,Machakos,Machakos,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),2,-3,Yes,Kamba,Kamba,No,Yes,No,,,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
