,ID,ID_ordered,location,dist,azimuth,lat_x,lon_x,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_y,lon_y,in_thm,move_count_in,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
1,276785,276785.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,291.1411954702797,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,276814,276814.03,"('Londiani', 'Kericho', 'Kenya')",177.15121063895126,2.544683330003535,35.5914203,-0.1673204,211,261.96541434424176,moves200,Londiani,Kericho,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,
5,276822,276822.01,"('Kedowa', 'Kericho', 'Kenya')",177.83234043515097,2.5870145695671662,35.55,-0.2333,202,261.96541434424176,moves200,Kedowa,Kericho,Kenya,Nairobi,Kayole,Kenya,Female,Working part-time (formal/informal sector),1,-3,Yes,Luo,Dholuo,No,Yes,No,,,POINT (35.55000000099938 -0.2332999999949834),-0.2333,35.55,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,276934,276934.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,358.79075742427807,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),1,-3,Yes,Kikuyu,Kiswahili,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,276935,276935.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,152.0807049784701,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Kamba,Kamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
11,277290,277290.05,"('Manyara', 'Arusha', 'Tanzania')",307.99927049238755,-1.4108431213962906,37.1445389775681,-4.70170335,215,307.99927049238755,moves200,Manyara,Arusha,Tanzania,Nairobi,Kawangware,Tanzania,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mwarusha Maasai,Kimasaai,Yes,Yes,No,25.147898516633177,0.1787203105656345,,,,,,,,,,,,,,,,,,,,,,
14,277291,277291.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,248.58017229350835,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
15,277372,277372.01,"('Busia', 'Kakamega', 'Kenya')",313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,202,313.8751343304977,moves200,Busia,Kakamega,Kenya,Nairobi,Kawangware,Uganda,Female,Unemployed ,3,-3,No,Mganda Mkisu,Mganda Mgisu,No,Yes,No,,,POINT (34.26479520653368 0.3712048000616051),0.3712048,34.26479520608315,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,277374,277374.05,"('Kakuma', 'Turkana', 'Kenya')",502.5180328194522,1.9841140758448257,34.825154,3.753338,215,1294.4751660605714,moves200,Kakuma,Turkana,Kenya,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,-3,No,Dinka,Dinka,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
18,277415,277415.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,194.87047730323383,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),1,-3,Yes,Kisii,Kisii,No,No,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
19,277420,277420.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,269.3386015035923,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,1,-3,Yes,Luhya,Luhya,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
21,277446,277446.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,2176.001423002862,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Burundi,Male,Self-employed (run small business/income generation project),3,-3,No,Muutu,Kiburundi,No,Yes,No,0.8004571274046839,0.0037635691516171,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
22,277459,277459.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,325.4144792298569,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,2,-3,Yes,Lughya,Lughya,No,No,Yes,12871.331003545294,0.4219623028419539,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
23,278075,278075.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,Yes,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
24,278076,278076.01,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,178.12056911903997,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Male,Other,2,Working full-time (formal/informal sector),Yes,Akantwi,Twi Twi ,No,Yes,No,19.77659307729249,0.3000329954908505,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,278077,278077.01,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,196.40088264922133,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Male,Working full-time (formal/informal sector),1,Working full-time (formal/informal sector),Yes,Akan,Twitwi,No,Yes,No,9.662126693719586,0.0504069049127688,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,278252,278252.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,1611.1788838669513,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Sudan,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Dinka,Dinka,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
28,278253,278253.02,"('Kahawa', 'Thika', 'Kenya')",19.003810850004506,0.4501486502742727,36.90579279999999,-1.1856847,202,19.003810850004506,moves200,Kahawa,Thika,Kenya,Nairobi,Kawangware,Kenya ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luhya,Luhya,No,Yes,No,,,POINT (36.90579280049747 -1.185684699788965),-1.1856847,36.90579279999999,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,278269,278269.05,"('Kakuma', 'Turkana', 'Kenya')",502.5180328194522,1.9841140758448257,34.825154,3.753338,215,1329.8392954841138,moves200,Kakuma,Turkana,Kenya,Nairobi,Kawangware,South Sudan ,Female,Unemployed ,0,Unemployed,No,Dinka,Dinka,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
34,278270,278270.03,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,211,269.3386015035923,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,3,Self-employed (run small business/income generation project),Yes,Luhya,Luhya,No,Yes,No,34.55994535039258,0.2685767542751844,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
