301 Economic Activity,count,301 Category,301 Detail
Agricultural  Labour,1,Agricultural Worker,
Farming,1,Agricultural Worker,Farming
Rear Animals Such Goat~ Cattle And Sheep,1,Agricultural Worker,"Goats, Cattle, and Sheep"
Apprenticeship,1,Apprentice,
Electrical  Apprenticeship,1,Apprentice,Electrical
Bar Manager,1,Business Manager,Bar
Businessman,2,Business Manager,
Family Business,1,Business Manager,Family-owned
Own  Business,1,Business Manager,Self-owned
Own Business,18,Business Manager,Self-owned
Self Employed,4,Business Manager,Self-owned
Supervisor  For A Block Production  Company,1,Business Manager,Self-owned
Worked At A Washing  Bay,1,Car Washer,Washing Bay
Casual Work,1,Casual Worker,
Voluntary  Work,1,Casual Worker,
Doing Casual Jobs,1,Casual Worker,
Cleaning,1,Cleaner,
I Have Lived Here All My Life. Working In The Hospital As A Cleaner,1,Cleaner,Hospital
Account  Clerk,1,Clerk,Account
Construction,5,Construction Worker,
Construction Labourer,3,Construction Worker,
Construction Related Work,1,Construction Worker,
Construction Work,3,Construction Worker,
Constructional Labourer,1,Construction Worker,
Barbering,1,Cosmetologist,Barber
Hair Dresser,1,Cosmetologist,Hair
Hair Dressing For Females,1,Cosmetologist,Women's Hair
Hair Extensions,1,Cosmetologist,Hair Extensions
Hairdresser,1,Cosmetologist,Hairdressing
Hairdressing,2,Cosmetologist,Hairdressing
Nail Polishing  And Makeup,1,Cosmetologist,Nails and Make-up
Other. Makeup And Hairfixing,1,Cosmetologist,Hairdressing and Make-up
Domestic Work(Gardener),1,Domestic Worker,Gardening
Domestic Worker,5,Domestic Worker,
Employed As Domestic Worker,1,Domestic Worker,
Driver,1,Driver,
Driver'S Mate,1,Driver,
Driving,6,Driver,
Driving Company Car,1,Driver,Company Car
Okada Driver,1,Driver,Okada
Helped (Ran Errands For) Fellow Togolese In Their Metal Workshops,1,Fabricator,Metalworking
I Worked In A Blacksmith Shop,1,Fabricator,Blacksmith
Volganising,1,Fabricator,Vulcanizing
Welding,1,Fabricator,Welding
Work Because I Am A Fabricated Who Design Modern Doors And Wndows Using Glasses,1,Fabricator,Windows and Doors
Factory Hand,1,Factory Worker,
Factory Work,1,Factory Worker,
Factory Worker,1,Factory Worker,
Factory Worker/Sweat Shop,2,Factory Worker,Sweat Shop
Worked As A Factory Hand In Universal Plastics,1,Factory Worker,Plastics
Worked As A Labourer At Cornmill,1,Factory Worker,Cornmill
Fishing,1,Fisherman,
Baking,2,Food Vendor,Baking
Bread Seller,1,Food Vendor,Bread
Butcher,4,Food Vendor,Meat
Food Vending,6,Food Vendor,
I Cooked Maize Porridge For Sale,1,Food Vendor,Maize Porridge
I Fried Egg For Sale In The Morning And Evening In The Neighborhood,1,Food Vendor,Eggs
I Sell Biscuits And Confectionery At Home,1,Food Vendor,Biscuits
I Sell Consumable Items Like Milk And Canned Foods,1,Food Vendor,Milk and Canned Food
I Sold Ice Cream - Fan Ice~ Fan Yogo~ Fan Milk,1,Food Vendor,"Ice Cream, Yogurt, Milk"
Operating A Food Joint,1,Food Vendor,
Sale Fante Kenkey,1,Food Vendor,Kenkey
Sale Of Food,1,Food Vendor,
Sale Of Fruits,1,Food Vendor,Fruit
Sale Of Pastries,1,Food Vendor,Pastries
Sale Of Watermelon,1,Food Vendor,Watermelon
Sell Food Items,1,Food Vendor,
Sell Meat At London Market,1,Food Vendor,Meat
Selling  Provisions (Milo~ Sugar M Milk Etc),1,Food Vendor,"Milo, Sugar, Milk"
Selling  Sugar Cane,1,Food Vendor,Sugar Cane
Selling Food,1,Food Vendor,
Selling Food Items,2,Food Vendor,
Selling Food(Roadside Canteen),1,Food Vendor,Roadside Canteen
Selling Kenkey,1,Food Vendor,Kenkey
Selling Local Drinks,1,Food Vendor,Local Drinks
Selling Of Onions,1,Food Vendor,Onions
Sells Roasted Plantain,1,Food Vendor,Roasted Plantain
Sold Fruits,1,Food Vendor,
Trading ( Selling Vegetables),1,Food Vendor,Vegetables
Trading Of Groceries,1,Food Vendor,Groceries
Was Selling Food Items,1,Food Vendor,
Was Selling Fruits On The Street,1,Food Vendor,Fruit
Footballer,1,Footballer,
Playing Football,1,Footballer,
Dress Making,1,Garment Maker,Dresses
Garment Maker,1,Garment Maker,
Sewing,5,Garment Maker,Sewing
Smock Weaving,1,Garment Maker,Smocks
Tailor,1,Garment Maker,Tailoring
Tailoring,3,Garment Maker,Tailoring
Deal In Clothing And Watches,1,Goods Vendor,Clothing
Managing A Small Provision Shop(Trade),1,Goods Vendor,
I Sell Wooden Ladles,1,Goods Vendor,Wooden Ladles
I Sold Vitamins Supplements Through Network Marketing,1,Goods Vendor,Vitamen Supplements
I Was A Shop Attendant,2,Goods Vendor,
I Was Selling Calendar,1,Goods Vendor,Calendars
Operate A Shop,1,Goods Vendor,
Other.  Selling  Computer Gadgets,1,Goods Vendor,Gadgets
Other. Selling  Accessories,1,Goods Vendor,
Other. Selling Ladies Underwear,1,Goods Vendor,Women's Underwear
Petty Trader,1,Goods Vendor,
Petty Trading,23,Goods Vendor,
Petty Trading Fixed Location,2,Goods Vendor,
Petty Trading In A Fixed Location,1,Goods Vendor,
Petty Trading In Electronics,1,Goods Vendor,Electronics
Phone Accessories,1,Goods Vendor,Phone Accessories
Provision Store,1,Goods Vendor,Provisions
Sale Of  Phone  Accessories,1,Goods Vendor,Phone Accessories
