Have had to change my lifestyle in order to fit in the neighbourhood. like my dressing code and also learn Swahili in order to communicate with my neighbours ^,1,Adapted to lifestyle or culture
The kind of food I ate in Korsile has changed. 8 cook and eat Ghanaian food now.^,1,Adapted to lifestyle or culture
Had to adapt to ways of living in South Africa.^,1,Adapted to lifestyle or culture
I had to learn how people of South Africa live and how learn the different cultures^,1,Adapted to lifestyle or culture
I had to adapt to the lifestyle^,1,Adapted to lifestyle or culture
i can do business in kenya^,1,Adapted to lifestyle or culture
adapting to the lifestyle of this area^,1,Adapted to lifestyle or culture
the lifestyle between here and my original place are different^,1,Adapted to lifestyle or culture
had to adapt to learning new languages and ways of living^,1,Adapted to lifestyle or culture
I had to change my ways of doing things and my behavior^,1,Adapted to lifestyle or culture
had to learn things fast^,1,Adapted to lifestyle or culture
I had to get used to the of life of South Africans.^,1,Adapted to lifestyle or culture
my ways of living and doing things are not the same as I was back home~you have to fit in ^,1,Adapted to lifestyle or culture
street wise and have connections^,1,Adapted to lifestyle or culture
you have to adapt and adopt new ways of living^,1,Adapted to lifestyle or culture
I have to be extra tough because  of the diverse types of people  with diverse characters in this area^,1,Adapted to lifestyle or culture
Adopting a new lifestyle like staying in a populated area ^,1,Adapted to lifestyle or culture
I had to adapt to Diepsloot way of life^,1,Adapted to lifestyle or culture
had to adapt to the life here^,1,Adapted to lifestyle or culture
lifestyle^,1,Adapted to lifestyle or culture
had to adapt to the lifestyle here^,1,Adapted to lifestyle or culture
Change in lifestyles~dressing code to suit the level of education. ^,1,Adapted to lifestyle or culture
i know how to fend and live with other communities^,1,Adapted to lifestyle or culture
Changed my lifestyle in order to secure a job.^,1,Adapted to lifestyle or culture
more understanding and quick to learn the terrain^,1,Adapted to lifestyle or culture
understand local economt and have various skills^,1,Adapted to lifestyle or culture
I had to get used to the way of life of South Africa.^,1,Adapted to lifestyle or culture
change of tribe and customs^,1,Adapted to lifestyle or culture
change of my country of origin to fit in^,1,Adapted to lifestyle or culture
have become more active and sharp in looking for opportunities^,1,Assertiveness
I have become  more assertive and business minded^,1,Assertiveness
to become  more aggressive interms of what i was doing economically ^,1,Assertiveness
more agressive in business^,1,Assertiveness
I have become more business minded^,1,Assertiveness
more economically active. combines business ideas and do more businesses^,1,Assertiveness
Doing casual work the initial times I arrived in Old Fadama ^,1,Casual work
Accepting to do casual work ^,1,Casual work
Hustling^,1,Casual work
at some times you need to do things for a plate of food^,1,Casual work
She says her working as a casual employer is not easy.^,1,Casual work
The are no jobs in the original country so this side employment is better.^,1,Casual work
Hawk around to sell traditional medicine to earn a living^,1,Casual work
have side job^,1,Casual work
Had to do multiple jobs to earn a decent living^,1,Casual work
I'm unemployed but I can manage to pay rent and do other stuff as well^,1,Casual work
spirit to hussle because life is expensive ^,1,Casual work
Accept to live in shark and work as a street hairdresser to survive^,1,Casual work
I have to manage with this informal economy^,1,Challenges in managing business
selling clothes but not anymore affected by covid^,1,Challenges in managing business
have leaent to do business and manage businesses^,1,Challenges in managing business
Make her business.^,1,Challenges in managing business
Because now I'm getting better salary^,1,Elevated financial status
back then I struggled but since I'm based in Berea I can manage.^,1,Elevated financial status
because when I came here I used to sleep by the streets but now I have my own place^,1,Elevated financial status
i got separated from my wife~ i couldn't maintain her ^,1,Family or household change
Because I came here because of marriage my husband decides what I do or not do. ^~I have children now so all my concentration and time is dedicated to them^,1,Family or household change
Accept my husband decision to settle down here^,1,Family or household change
I had take a  boyfriend to survive ^,1,Family or household change
I started dating men here because I didn't have a  good job ^,1,Family or household change
I have had to live without my wives and children here^,1,Family or household change
Sharing a single room with others^,1,Family or household change
I have had to live under the guidance of my husband ^~I have learnt to live without my parents and siblings ^,1,Family or household change
Living with my friend to make end means^,1,Family or household change
from a 2bedrooms to bedsitter^,1,Family or household change
i had to reduce my household members ^,1,Family or household change
Because of COVID I had to come to Ghana and join my brother since our school was closed^,1,Family or household change
staying alone without friend^,1,Family or household change
have become more informed^,1,Greater knowledge or wisdom
have become knowledgeable ^,1,Greater knowledge or wisdom
more informed^,1,Greater knowledge or wisdom
have become wise and experienced in managing business^,1,Greater knowledge or wisdom
learn to ride a bike^,1,Greater knowledge or wisdom
have learnt alot and gained skills. become more social^,1,Improved socialization
I'm more patient with people because I'm not in my home town^~I don't make friends because im here to make money ^,1,Improved socialization
Improving social contact^~Hustling^,1,Improved socialization
Become more friendly due to type of work~ Network marketing^,1,Improved socialization
make myself more attractive and young to get more customers ^,1,Improved socialization
Be very friendly ^,1,Improved socialization
Changed my temperament and character.  I have become more patient and cool^,1,Improved socialization
Become more friendly^,1,Improved socialization
Has become more open to people due to the customer care required for shopkeeping^,1,Improved socialization
more connected and social^,1,Improved socialization
Be more friendly and less aggressive^,1,Improved socialization
I've been able to work~communicate and help others.^,1,Improved socialization
She used to stay in the township and everyone knows her.^,1,Improved socialization
I spend more in the city^~I have less friends ^~I got out less^,1,Increased spending
I spend more here...life is expensive here^~I have less friends ^~I go out less^,1,Increased spending
Have come to understand urban life and its many expenses^,1,Increased spending
I learnt being independent. ^,1,Independence
Doing my own wok to survive ^,1,Independence
had to learn to be independent^,1,Independence
I have learnt to live without my parents and siblings. ^~I have learnt to live with people of different cultures and orientation^,1,Independence
Work in order to continue my education ^,1,Independence
because I can do things on my own^~I can do things at my own time^,1,Independence
by getting a job^,1,Independence
Buying food for himself^,1,Independence
Learn to live with what you have^,1,Independence
staying alone minus my family ^,1,Independence
have become careful and more independent^,1,Independence
Doing my personal work to survive (Phone repair)^,1,Independence
I stopped relying totally on my parents and started working ^,1,Independence
Taking care of myself ^~Being Responsible^,1,Independence
In securing a job^,1,Job search
To search for jobs. ^,1,Job search
I must be employed^,1,Job search
learnt to take any job for cash^,1,Job search
moved to Nairobi lookinh for work^,1,Job search
doing everything legal to get money ^,1,Job search
Have to get employment to survive ^,1,Job search
Had to learn Twi to be able to sustain my business when I was working^,1,Learned language
Learn the language ^,2,Learned language
I learnt another language^,1,Learned language
name calling~so you have to adjust and speak other languages^,1,Learned language
I have had to learn speaking Swahili to be able to communicate with my neighbours and friends. ^,1,Learned language
I have had to learn speaking Swahili in order to communicate with my neighbours and friends in Rongai^,1,Learned language
know the languages and life style of the community^,1,Learned language
I have to adjust to new language ad adjust my lifestyle^,1,Learned language
knowing different languages^,1,Learned language
By learning the local languages  (Ga and Twi)^,1,Learned language
I had to learn the language spoken in the community^,1,Learned language
Be friendly ^~Learn language ^,1,Learned language
Have had to learn speaking English to interact with people. Had to learn to play football with friends to make more friends ^,1,Learned language
Learning Swahili which is the Kenyan National  language  to enable me transact  most of my businesses  here.^,1,Learned language
I had to learn speaking English and Swahili in order to interact with my neighbours and friends ^,1,Learned language
she had to adapt to speaking the language spoken I the community^,1,Learned language
Learn a new language (Twi)^,1,Learned language
I had to learn  speaking English in order to communicate with some Kenyans ^,1,Learned language
had to learn Zulu so that I can be accepted^,1,Learned language
I have had to learn to speak Swahili in order to communicate with my neighbours here in Kayole^,1,Learned language
I have had to learn a new language. Kiswahili.in order to communicate with Kenyans.^,1,Learned language
I don't make friends who will have bad influence on me ^~I stopped unnecessary spending ^,1,Modified social circles
I'm more religious now~ I attend church often now.^~I have stopped following bad friends ^~I have taken life more seriously now^,1,Modified social circles
things he did back home and people he associatied with back home nowhere feels like a lesser person^,1,Modified social circles
social interactions with people who cna make you grow^,1,Modified social circles
