l understand their policies much better than the previous church^,1,Better fit
I am still taking a break from church^,1,Break
My experience and salvation ^,1,Dedication
Accepting Jesus as Lord and personal saviour ^,1,Dedication
Salvation through  Christ^,1,Dedication
Got saved^,1,Dedication
I got a spiritual gift^,1,Dedication
because I'm a prophetic person^,1,Dedication
INTENSE PRAYER^,1,Dedication
church have same principles^,1,Equivalency
the church has same principles like my church back home^,1,Equivalency
their services  are similar  to my main church ^,1,Equivalency
I was involved in an accident and I thought I needed God's touch because He had protected me.^,1,Helpful during hardship
after loosing the father of my children I was depressed so I decided to look for a church^,1,Helpful during hardship
my husband ^,1,Joined spouse
I married a Muslim so I stopped going to church and I don't do the Islamic worship too.^,1,Joined spouse
to join spouse church^,1,Joined spouse
Joined the husband's church ^,1,Joined spouse
When my husband passed on~ I went back^,1,Joined spouse
to join my spouse church ^,1,Joined spouse
My husband is a Muslim therefore I need to join after marriage ^,1,Joined spouse
Husband ^,1,Joined spouse
just decided to follow my partner to church^,1,Joined spouse
Got married and had to change churchs^,1,Joined spouse
husbands influence ^,1,Joined spouse
To join the husband in his church ^,1,Joined spouse
marriage ^,1,Joined spouse
To please wife^,1,Joined spouse
I followed my wife^,1,Joined spouse
my husband's family belongs to this church~ as a wife I had to change to fit in^,1,Joined spouse
was married to SDA and mother in law convienced her to change^,1,Joined spouse
Because  i changed  Country ^,1,Location change
I changed country ^,1,Location change
Change of nationality^,1,Location change
Change of neighbourhood ^,1,Location change
Changed residence ^,1,Location change
because the church relocated ^,1,Location change
Relocation issue^,1,Location change
moved from the region^,1,Location change
Movement. I moved from home to Nairobi.Church of God was at home^,1,Location change
change of location and the former church isn't available in the city ^,1,Location change
Changed country of residence ^,1,Location change
my previous church changed the location to somewhere far from Adenta ^,1,Location change
The previous church relocated ^,1,Location change
moved to a new location and there is no my church here^,1,Location change
CHANGE IN LOCATION ^,1,Location change
relocation ^,1,Location change
Moved to a new place ^,1,Location change
I'm old now I was following my mom to church so it no longer excites me^,1,Loss of interest
lost faith^,1,Loss of interest
gave up on prayer ^,1,Loss of interest
I just felt like i no longer need to go there anymore.^,1,Loss of interest
didn't understand how they do things^,1,Negative qualities
Christians don't do what they preach ^~Christianity is a foreign religion ^,1,Negative qualities
the old church I didn't understand it's it's not fun as this one I'm in now^,1,Negative qualities
He doesn't like church.^,1,Negative qualities
there are too many scandals happening at church^,1,Negative qualities
I did not get any help from the church^,1,Negative qualities
I had an argument with some of the leaders^,1,Negative qualities
I felt bored by going to church^,1,Negative qualities
Lack of confidence ^,1,Negative qualities
Its too dull ^,1,Negative qualities
I was not pleased with their actions ^,1,Negative qualities
I had an issue with one of the church leaders^~All they are interested  in is money^,1,Negative qualities
church is boring^,1,Negative qualities
churches have become different institutions. they are businesses^,1,Negative qualities
DISAPPOINTMENT FROM THE PERSON  LOOKING  UP TO^,1,Negative qualities
the were lot of issues happening within the congregation^,1,Negative qualities
the prea hers are liars ^,1,Negative qualities
because they were. worshiping ancestors and idols that why she left^,1,Negative qualities
NA^,31,Never attended
no religion^,21,Never attended
I don't go to church^,10,Never attended
she never gone to church ever since it was her.^,1,Never attended
she never went to church^,1,Never attended
never went to church^,1,Never attended
He always pray for himself^,1,Never attended
not a religious person^,1,Never attended
not religious^,1,Never attended
she has never gone to church^,1,Never attended
I don't attend church^,1,Never attended
respondent doesn't have a religion^,1,Never attended
I never went to church^,1,Never attended
no religion at all^,1,Never attended
no religion~ doesn't go to church^,1,Never attended
never changed^,5,No change
na^,3,No change
always belonged there^,1,No change
always been Muslim^,1,No change
I have always been a catholic not planning to change^,1,No change
no changes ^,1,No change
always belonged to zion^,1,No change
always belonged to the church since I was young^,1,No change
always been in this church^,1,No change
I don't change^,1,No change
never changed it wish my home church^,1,No change
nothing ^,1,No change
I didnt change religion ^,1,No change
I never changed^,1,No change
Not applicable~ since i haven't  changed religion. ^,1,No change
Didn't change^,1,No change
Just decided ^,1,No specific reason
I just left with no reason^,1,No specific reason
I just decided to change ^,1,No specific reason
I just decided to change^,1,No specific reason
I don't have a specific reason^,1,No specific reason
The leaders are truthful^,1,Positive qualities
doctrines of the the new church^,1,Positive qualities
nice preaching ^,1,Positive qualities
Because I felt it was a good church for me^,1,Positive qualities 
it's a charsmatic church~ enjoyable^,1,Positive qualities 
The former  church doesn't  have a branch in Ghana ^,1,Previous not available
Could not find previous church in neighbourhood ^,1,Previous not available
my main church doesnt have a branch here^,1,Previous not available
there is no my church around here^,1,Previous not available
There was no St.Teresa church in Kayole^,1,Previous not available
she doesnt know where catholic church is around here^,1,Previous not available
No branch your of main church over here^,1,Previous not available
its the nearest ^,3,Proximity
proximity ^,1,Proximity
Distance reason^,1,Proximity
Distance to old church^,1,Proximity
it was near ^,1,Proximity
near my residence ^,1,Proximity
proximity to where i stay ^,1,Proximity
It was church nearer to me^,1,Proximity
easy to access ^,1,Proximity
distance  is close  to my resident^,1,Proximity
next to my residence ^,1,Proximity
it was far from where I stay^,1,Proximity
im a believer in God~and the rhema church was closer to where we stayed^,1,Proximity
It is closer to where I'm currently Living^,1,Proximity
the Presbyterian church is closer to where  I stay^,1,Proximity
the church was near to my living area^,1,Proximity
nearest church^~they preach well^,1,Proximity
It's near my residence ^,1,Proximity
destination^,1,Proximity
closer to my house^,1,Proximity
proximity~ previous church is far from where I stay. ^,1,Proximity
The church  was far away from  my place  of residence ^,1,Proximity
The Ack church was a bit far^,1,Proximity
I went to that church cause it was close to where I use to visit my friend^,1,Proximity
just choose  to be my city church ^,1,Proximity
the church is  near and the believers there are friendly ^,1,Proximity
I was convinced by a friend^,1,Referred
friends^,1,Referred
My nephew convinced me to change^,1,Referred
Was motivated by problems a friend^,1,Referred
I followed my boss^,1,Referred
I followed friends ^,1,Referred
My aunty I stayed with in Kasoa was a Muslim. Everyone in the house was a Muslim so I also became one.^,1,Referred
My brother ^,1,Referred
Parents^,1,Referred
parents converted^,1,Referred
It's  a friend who influenced me.^,1,Referred
my parents we're there people who made me change the church^,1,Referred
my parents were taking me to church^,1,Referred
A Friend motivated me to join his church^,1,Referred
the lead by her sister^,1,Referred
I was invited by someone^,1,Referred
I was recruited by a neighbor^,1,Referred
impossible to attend church on Saturday due to work^,1,Schedule
Was busy most of the weekends^,1,Schedule
I am always at work^,1,Schedule
l am always busy^,1,Scheduling
,count,
-1,1371,
-3,2,
