original_text,edited_text,count,asp_category_1,asp_category_2,asp_category_3
To Guard My House And Also Plant And My Kids Will Be There One Working^,I want to guard my house. I want to plant. My kids will be working there one day.,1,Available land or improved living conditions,"Environment, geography, or natural landscape",Improved outcomes or education for children
Access To Land Is Easier For Me^,,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
Access To Land^,,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
I Can Easly Do Farming There Because Of Availability Ofmy Parents Land And Water ^~I Was Born In That Area^,,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
I Want To Own A Farm There^,,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
Invest Into Farming ^,I will invest into farming.,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
My Father Has 30 Acres There. I Want To Farm On The Land^,My father has 30 acres there. I want to farm on the land.,1,Available land or improved living conditions,"Environment, geography, or natural landscape",
It Has Space For Building And It'S A Spouting Town Within The Metropolitan. ^,It has space for building. It is a spouting town within the metropolitan area.,1,Available land or improved living conditions,"Exposure to activity, amenities, and culture",
We Have Built Here So We Cannot Move This Is Our Permanent Place^,"We have built here, so we cannot move. This is our permanent place.",1,Available land or improved living conditions,Familiarity or to remain in area,
We Have Our House Here And This Is My Hometown^,We have our house here. This is my hometown.,1,Available land or improved living conditions,Familiarity or to remain in area,
Access To Land For Farming ^,,1,Available land or improved living conditions,Improved work or economic opportunities,
Husband Bought Land There^,,1,Available land or improved living conditions,On behalf of another family member,
Husband Has A Plot There^,,1,Available land or improved living conditions,On behalf of another family member,
Husband Is Buying A Land There^,,1,Available land or improved living conditions,On behalf of another family member,
I Hope My Husband Will Build A House There And We Would Move In ^,,1,Available land or improved living conditions,On behalf of another family member,
Look After And Take Care Of My Home And Husband ^,I would look after my home. I would take care of my husband.,1,Available land or improved living conditions,On behalf of another family member,
My Husband Is Building A House There So We Will Move There When He Retires^,My husband is building a house there. My husband and I will move there when he retires.,1,Available land or improved living conditions,On behalf of another family member,
I Won'T Stay In Shack Forever~And Sandton Is A Very Nice Place And Quiet^,,1,Available land or improved living conditions,"Peacefulness, safety, or cleanliness",
Less Moving Around And Less Noice Compared To Here In Diepsloot^,There is less moving around. There is less noise compared to here in Diepsloot.,1,Available land or improved living conditions,"Peacefulness, safety, or cleanliness",
To Enjoy In My Own House^~It'S Peaceful Also^,I want to enjoy my own house. It is peaceful.,1,Available land or improved living conditions,"Peacefulness, safety, or cleanliness",
I Have My House There And The Place Is Cool^,,1,Available land or improved living conditions,Personal preference or change,
Because I Want To Be In My Own Place I Don'T Want To Suffer Unnecessarily^,,1,Available land or improved living conditions,Reduced expenses or hardship,
I Have My House There And So I Don'T Have To Stay Here And Rent^,,1,Available land or improved living conditions,Reduced expenses or hardship,
I Want To Do Farming Back At Home^,,3,Available land or improved living conditions,Reunify with family or return to homeland,"Environment, geography, or natural landscape"
To Move Back Home To Build His House And Leave Money For His Grandma And Hopefully He Will Have Kids In The Next Year'S To Come.^,I want to move back home to build my house. I want to leave money for my grandma. I hope I will have kids in the next years to come.,1,Available land or improved living conditions,Reunify with family or return to homeland,Romantic prospects or to start a family
At Least My Parents Have Property There^,,1,Available land or improved living conditions,Reunify with family or return to homeland,
I Have A House And Livestock Back Home~And M Family Is Backhome^,,1,Available land or improved living conditions,Reunify with family or return to homeland,
My Father  Has A House There And It'S My Home As Well^,My father has a house there. My home is there.,1,Available land or improved living conditions,Reunify with family or return to homeland,
To Take Care Of My Parent'S Lands ^,I want to take care of my parents' land.,1,Available land or improved living conditions,Reunify with family or return to homeland,
We Have Built Over There And Will Resettle There With My Family^,We have built over there. I will resettle there with my family.,1,Available land or improved living conditions,Reunify with family or return to homeland,
I Have A Home And I That'S My Home Own Where I Need To Be When I Die^,,1,Available land or improved living conditions,To be buried there upon death,
I Hope To Build My House There So Retire And Stay There With My Children ^,,1,Available land or improved living conditions,To retire or age in an appropriate place,
I Intend To Build A Retirement House There So I'Ll Live There^,,1,Available land or improved living conditions,To retire or age in an appropriate place,
My Husband And I Are Building A Home There~Where We Would Like To Retire From.^,My husband and I are building a home there. It is where my husband and I would like to retire from.,1,Available land or improved living conditions,To retire or age in an appropriate place,
* Hope To Build A House There Someday ^,,1,Available land or improved living conditions,,
Access To Building ^,,1,Available land or improved living conditions,,
Access To Land ^,,1,Available land or improved living conditions,,
Aceess To Land And Building ^,,1,Available land or improved living conditions,,
Already Built A Home There ^,,1,Available land or improved living conditions,,
Be In Own Residence ^,,1,Available land or improved living conditions,,
Because I Have A Plote Of Land There ^,,1,Available land or improved living conditions,,
Because I Want My Space^,,1,Available land or improved living conditions,,
Because My Family Bought A House There So If I Will Be Not In My House I Will Move There^,,1,Available land or improved living conditions,,
Bought Land There^,,1,Available land or improved living conditions,,
Build A Home^,,4,Available land or improved living conditions,,
Everything  I Own Is Located There^,,1,Available land or improved living conditions,,
Have A Home At Mibunda^,,1,Available land or improved living conditions,,
Have A Home At Rinya Awendo^,,1,Available land or improved living conditions,,
Have A Home^,,2,Available land or improved living conditions,,
Have A Plot Of Land There~ Which Very Soon I Will Build On It And One Day Move To Settle In There. ^,,1,Available land or improved living conditions,,
Have Built A Home There^,,1,Available land or improved living conditions,,
Have Land And Life Is Cheap^,,1,Available land or improved living conditions,,
Have Property Such As Land^,,1,Available land or improved living conditions,,
He Will Build A Home There^,,1,Available land or improved living conditions,,
Her Mother Have Livestock^,,1,Available land or improved living conditions,,
Housing And Environment Are Good^,,1,Available land or improved living conditions,,
I Am Building At Kasoa Where I Will Live With My Family ^,,1,Available land or improved living conditions,,
I Am Part Of The Royal Family Here And We Have  Many Lands Here^,,1,Available land or improved living conditions,,
I Have A Home There And I Want To Retire There^,,1,Available land or improved living conditions,,
I Have A House Here.^,,1,Available land or improved living conditions,,
I Have A House Here^,,1,Available land or improved living conditions,,
I Have A House There And Even Working On Improving My Home~ So I'Ll Love To Spend My Last Days Back Home.^,,1,Available land or improved living conditions,,
I Have Land And A House There^,,1,Available land or improved living conditions,,
I Have Land And A Whole Life Here^,,1,Available land or improved living conditions,,
I Have My Hosing Project There^,,1,Available land or improved living conditions,,
I Have My House There^,,1,Available land or improved living conditions,,
I Have My Own House Back Home^,,1,Available land or improved living conditions,,
I Have My Own House Here^,,1,Available land or improved living conditions,,
I Have My Own Property There^,,1,Available land or improved living conditions,,
I Have Property And Land There^,,1,Available land or improved living conditions,,
I Hope To Build A  House There ^,,1,Available land or improved living conditions,,
I Hope To Build My House There^,,1,Available land or improved living conditions,,
I Want To Buy A House For My Family There^,,1,Available land or improved living conditions,,
I Will Build A House Here ^,,1,Available land or improved living conditions,,
I Will Build My Own House^,,1,Available land or improved living conditions,,
I Will Love To Own A House There^,,1,Available land or improved living conditions,,
I Would Be Investing In A Building So I Can Go Back ^,,1,Available land or improved living conditions,,
I Would Have Built My House Here^,,1,Available land or improved living conditions,,
I Would Love To Buy A House There^,,1,Available land or improved living conditions,,
I Would Love To Go Stay In United Kingdom Just Fascinated By The Place^,,1,Available land or improved living conditions,,
I Would Love To Own A House There That Belongs To Me^,,1,Available land or improved living conditions,,
I'Ll Build A House There ^,,1,Available land or improved living conditions,,
I'Ll Have To Look Out For My Family House^,,1,Available land or improved living conditions,,
I'M Building A House In Amasaman So I'Ll Stay There^,,1,Available land or improved living conditions,,
I'M Building There^,,1,Available land or improved living conditions,,
I'M Putting Up A House There^,,2,Available land or improved living conditions,,
Intend To Build  My Own Home There^,I intend to build my own home there.,1,Available land or improved living conditions,,
Intend To Build There One Intend To Build There In Future ^,I intend to build there in the future.,1,Available land or improved living conditions,,
Is The Best Place I Could Think Of Staying Because I Am Planning To Buy A Piece Of Land There^,It is the best place I could think of staying because I am planning to buy a piece of land there.,1,Available land or improved living conditions,,
It Has Lots Of Free Land^,,1,Available land or improved living conditions,,
It Has Nice Houses ^,,2,Available land or improved living conditions,,
Kasoa Is A More Decent Residential Place^,Kasoa is a more decent residential place.,1,Available land or improved living conditions,,
Land There Are Sold Cheaply^,There is land sold cheaply.,1,Available land or improved living conditions,,
Many Opportunities For Life. Housing. Business^,"It offers many opportunities for life, housing, and business.",1,Available land or improved living conditions,,
My Father Has A Lot Of Land There ^,My father has a lot of land there.,1,Available land or improved living conditions,,
My Father'S Land ^,My father's land is there.,1,Available land or improved living conditions,,
My Household Would Relocate There Soon^,My household would relocate there soon.,1,Available land or improved living conditions,,
My Plot Of Land Is There ^,My plot of land is there.,1,Available land or improved living conditions,,
Plan To Build A House There^,I plan to build a house there.,1,Available land or improved living conditions,,
Planning To Build There^,I am planning to build there.,1,Available land or improved living conditions,,
Plans To Buikd There Later^,I plan to build there later.,1,Available land or improved living conditions,,
Plans To Buy A Land There^,I plan to buy land there.,1,Available land or improved living conditions,,
Plans To Buy A Plot And Build A House There ^,I plan to buy a plot and build a house there.,1,Available land or improved living conditions,,
Plenty Of Land^,There is plenty of land.,1,Available land or improved living conditions,,
Put Up My Building Or Buy It When I Get Money^,I want to put up my building or buy it when I get money.,1,Available land or improved living conditions,,
That Is  Where  I Will Build My Own House ^,That is where I will build my own house.,1,Available land or improved living conditions,,
That Is Where I  Intend To  Build My House ^,That is where I intend to build my house.,1,Available land or improved living conditions,,
That Is Where I Can Afford To Buy Land To Build Or Rent A More Decent House^,That is where I can afford to buy land to build or rent a more decent house.,1,Available land or improved living conditions,,
That Is Where I Have Our Land^,That is where we have land.,1,Available land or improved living conditions,,
That Is Where I Plan To Build ^,That is where I plan to build.,1,Available land or improved living conditions,,
That Is Where I Want To Build My Future House^,That is where I want to build my future house.,1,Available land or improved living conditions,,
That Is Where I Will  Build My  Home^,That is where I will build my home.,1,Available land or improved living conditions,,
That'S  Where Have Bought Land.^,That is where I have bought land.,1,Available land or improved living conditions,,
That'S Where My Home Is At^,That is where my home is at.,1,Available land or improved living conditions,,
That'S Where My House Is.^,That is where my house is.,1,Available land or improved living conditions,,
The Space Is Enough^,The space is enough.,1,Available land or improved living conditions,,
There Is A Plot Of Land I Have There^,There is a plot of land I have there.,1,Available land or improved living conditions,,
To Build A Home^,I want to build home.,1,Available land or improved living conditions,,
We Are Building Our House There^,We are building our house there.,1,Available land or improved living conditions,,
We Have A Big Family House There^,We have a big family house there.,1,Available land or improved living conditions,,
We Have Our Housing Project There^,We have our housing project there.,1,Available land or improved living conditions,,
Would Have Put Up My Own Building ^,I will have put up my own building.,1,Available land or improved living conditions,,
Better Welfare Systems For The Aged^,,1,Care or improved health,Care or improved health,
Dubai'S Population Is Lower And Life Expectancy Is Higher Than In Than ^,,1,Care or improved health,"Peacefulness, safety, or cleanliness",
Health Care Is Good^~Is Safe And Look After Old People^,,1,Care or improved health,"Peacefulness, safety, or cleanliness",
I Will  Get Assistance From  Family Members ^,,1,Care or improved health,Reunify with family or return to homeland,
Has Better Services^,,1,Care or improved health,,
I Need To Meet New People Who Will Help Me As I'M Alone With No One To Help Me^,,1,Care or improved health,,
If I Feel Sick~ I Have Someone To Take Care Of Me^,,1,Care or improved health,,
It  Is Very Close To The Nation'S Capital With Excellent  Health  Facilities  And Social Amenities. ^,,1,Care or improved health,,
Such Country Have Good Police For Retirees ^,The country has good policies for retirees.,1,Care or improved health,,
To Receive  The  Needed Support ^,I want to receive the needed support.,1,Care or improved health,,
To Take Care Of My Farm And Home ^,I want to take care of my farm and home.,1,"Environment, geography, or natural landscape",Available land or improved living conditions,
It'S  Near A Lake And I Love Water.^,It is near a lake. I love water.,1,"Environment, geography, or natural landscape","Environment, geography, or natural landscape",
I Like The Landscape ^~Access To Economic Resources ^,,1,"Environment, geography, or natural landscape",Improved work or economic opportunities,
To Do Farming And Business Aroundmy Place^,I want to do farming around my place. I want to do business around my place.,1,"Environment, geography, or natural landscape",Improved work or economic opportunities,
I Want To Stay Near The Sea And Enjoy The Place And The Fresh Breeze^,,1,"Environment, geography, or natural landscape","Peacefulness, safety, or cleanliness",
It Has A Good Climatic Condition And Also Quite ^,It has a good climatic condition. It is also quiet.,1,"Environment, geography, or natural landscape","Peacefulness, safety, or cleanliness",
The Smell Of Fresh And There Is Peace There^,There are fresh smells. There is peace there.,1,"Environment, geography, or natural landscape","Peacefulness, safety, or cleanliness",
The Land There Is Arable And I Would Like To Practice Farming On My Retirement.^,The land there is arable. I would like to practice farming on my retirement.,1,"Environment, geography, or natural landscape",To retire or age in an appropriate place,
Due To The Climate Over There ^,,1,"Environment, geography, or natural landscape",,
Due To The Geographical Nature Of The Place ^,,1,"Environment, geography, or natural landscape",,
Due To The Temperature At My Community Of Origin. It Is Very Conducive ^,,1,"Environment, geography, or natural landscape",,
I Like The Invironment^,,1,"Environment, geography, or natural landscape",,
I Love The Coastal Life^,,1,"Environment, geography, or natural landscape",,
It Is Close To The Sea^,It is close to the sea.,1,"Environment, geography, or natural landscape",,
Love Climate In My Place^,I love the climate in my place.,1,"Environment, geography, or natural landscape",,
Love The  Environment ^,I love the environment.,1,"Environment, geography, or natural landscape",,
Maybe When I Get Old I Can Go To Eastern Cape^,I can go to the Eastern Cape when I get old.,1,"Environment, geography, or natural landscape",,
She Want To Enjoy Her Grandma Livestock.^,I want to enjoy my grandma's livestock.,1,"Environment, geography, or natural landscape",,
Start Farming^,I will start farming.,2,"Environment, geography, or natural landscape",,
Start Poultry Farming^,I will start poultry farming.,2,"Environment, geography, or natural landscape",,
Stay Close To My Future Farms Where I Can Enjoy Nature^,I will stay close to my future farms where I can enjoy nature.,1,"Environment, geography, or natural landscape",,
The Environment  Its Good^,The environment is good there.,1,"Environment, geography, or natural landscape",,
The Environment Is Better Than Polokwane.^,The environment is better than Polokwane.,1,"Environment, geography, or natural landscape",,
