original_text,edited_text,count,reason_category,reason_theme
Education,Education,2,Access to education or training,Occupation
FOR APPRENTICESHIP,for apprenticeship,1,Access to education or training,Occupation
for education,for education,1,Access to education or training,Occupation
For training on carpentry,For training on carpentry,1,Access to education or training,Occupation
My brother stayed here and i came for training~ Cobbler,My brother stayed here and i came for training: Cobbler,1,Access to education or training,Occupation
To Learn  A Trade,To learn a trade,1,Access to education or training,Occupation
to learn a trade~ Upholstery,to learn a trade: Upholstery,1,Access to education or training,Occupation
Went to learn a trade or mastercraft there. That  is hairdressing,Went to learn a trade or mastercraft there. That is hairdressing,1,Access to education or training,Occupation
Access to work,access to work,1,Access to work or economic opportunities,Occupation
Access to Work,access to work,1,Access to work or economic opportunities,Occupation
access to work,access to work,1,Access to work or economic opportunities,Occupation
availability of job for selling milk,availability of job for selling milk,1,Access to work or economic opportunities,Occupation
Closeness to work place,Closeness to work place,1,Access to work or economic opportunities,Occupation
Do Business Because The Job I Went For Was Not Fetching Me Money,Do Business Because The Job I Went For Was Not Fetching Me Money,1,Access to work or economic opportunities,Occupation
Economic  reasons.,Economic reasons.,1,Access to work or economic opportunities,Occupation
Economic  reasons~ in search of work.,Economic reasons~ in search of work.,1,Access to work or economic opportunities,Occupation
Exhausted the economic  fronts in the area,Exhausted the economic fronts in the area,1,Access to work or economic opportunities,Occupation
for job opportunity,for job opportunity,1,Access to work or economic opportunities,Occupation
Had an opportunity to come and start a business here,Had an opportunity to come and start a business here,1,Access to work or economic opportunities,Occupation
job opportunities,job opportunities,1,Access to work or economic opportunities,Occupation
Marketing my skills or profession,Marketing my skills or profession,1,Access to work or economic opportunities,Occupation
Proximity  To Work Place And Again The Cost Of Rent Wasn'T  High.,Proximity To Work Place And Again The Cost Of Rent Wasn't High.,1,Access to work or economic opportunities,Occupation
The economic conditions there were not favourable.,The economic conditions there were not favourable.,1,Access to work or economic opportunities,Occupation
The economy of my country was not favouring me.,The economy of my country was not favouring me.,1,Access to work or economic opportunities,Occupation
To look for a job,To look for a job,1,Access to work or economic opportunities,Occupation
Work,for Work,2,Access to work or economic opportunities,Occupation
Clan wars,Clan wars,1,"Asylum, war, crime, or violence",Flight
