716 Motivation to choose destination,count
-3,137
-1,31
None^,12
None ^,12
Na^,10
Hometown ^,7
Ancestral Home ^,7
Hometown^,6
Ancestral Home^,6
For Farming ^,5
My Ancestral Home ^,5
No Other Reasons ^,5
Marital Home ^,5
No Reason^,5
I Like It Here^,5
That Is My Home^,4
Build A Home^,4
Kenya Is Peaceful ^,4
No Other Reasons^,4
I Want To Do Farming Back At Home^,3
I Want To Be Buried Home^,3
My Homeland^,3
Access To Extended Family ^,3
Home Is Always The Best^,3
My Home Place^,2
That'S Where I Grew Up^,2
I Can'T Go Back Home.^,2
It'S Home To Me^,2
Home Is Best^,2
Less Expenses And Peaceful ^,2
Because Life Here In Better Than My Place Of Origin (Sgoga Matatiele)^,2
For Farming Business ^,2
My Home Country ^,2
No Other Reason ^,2
Home Town ^,2
Home Is The Best^,2
Better Life^,2
Peaceful Coexistence ^,2
Its Where I Want To Be.^,2
Go Back Home^,2
I Am Used To This Place^,2
Stay At Kayole^,2
Married Here^,2
This Is My Home^,2
I Just Like The Place^,2
That Is Where I Belong^,2
Don'T Know^,2
Access To Family ^,2
I'M Putting Up A House There^,2
Start Poultry Farming^,2
It Is A Good Place^,2
My Home^,2
Family Unification^,2
That'S My Place Of Birth ^,2
It'S Back Home Where My Loved Ones Are^,2
Due To Closeness To Family ^,2
Access To Family And Friends ^,2
That'S Where I Come From^,2
It'S Close To Family And Friends ^,2
Start Farming^,2
It Has Nice Houses ^,2
My Home ^,2
I Like It Here ^,2
Lots Of Job Opportunities^,2
I Have To Go Back Home^,2
Peaceful Environment ^,2
To Be With My Family ^,2
Ancestral Land^,2
Have A Home^,2
It'S My Hometown^,2
For Farming  Business ^,2
No Reason ^,2
Family ^,2
Because I Don'T Know Where I Will Retire Too^,1
I Want To Relax At Home^,1
I Will Like To Be Close Home To My Family^,1
The Place Is Less Crowded ^,1
My Whole Family Is In This Neighbourhood ^,1
Because It Is A Good Place^,1
Home Sweet Home And To Perform Elderly Role^,1
It'S  A Serene Place To Live^,1
That'S My Hometown And My Family Are There^,1
Quiet And Beautiful ^,1
To Rest^,1
That Is Where I Have  My Family  Members ^,1
My Sons Are Building A House There And I Hope To Stay There When It'S Completed. I Will Spend My Old Age There.^,1
Business Is Booming  In This Area And I Will  Make Lots Of Money When  I Settle  There With My Business ^,1
I Know Many People There^,1
I Think I Want To Be Buried With My Forefathers ^,1
I Want To Be Close To My Family In My Hometown^,1
It'S A Formal Neighbourhood^,1
That Is My Home And Most Of My Family Members Are There^,1
My Father Has A Lot Of Land There ^,1
I Have Future In This Neighbourhood ^,1
It'S A Quite And Friendly Place To Live And Make Money ^,1
That'S My Community Of Origin^,1
Dont Like Moving And Am Used To My Home Town~And There Are Many Opportunities For Work Here^,1
Planning To Build There^,1
Access To Education For Children ^~Access To Democratic Freedom^,1
I Have My House There^,1
