,SITE_CODE,8 Identify City ,716 Motivation to choose destination,716_edt_asp,716_cat1_asp,716_cat2_asp,716_cat3_asp
0,276785,Nairobi ,-1,,,,
1,276788,Nairobi ,-1,,,,
2,276802,Nairobi ,It Has A Good Climatic Condition And Also Quite ^,It has a good climatic condition. It is also quiet.,"Environment, geography, or natural landscape","Peacefulness, safety, or cleanliness",
3,276814,Nairobi ,-1,,,,
4,276822,Nairobi ,-1,,,,
5,276931,Nairobi ,-1,,,,
6,276932,Nairobi ,-1,,,,
7,276934,Nairobi ,-1,,,,
8,276935,Nairobi ,-1,,,,
9,277079,Nairobi ,-1,,,,
10,277213,Nairobi ,-1,,,,
11,277290,Nairobi ,Have A Home^,,Available land or improved living conditions,,
12,277291,Nairobi ,-1,,,,
13,277321,Nairobi ,Na^,,,,
14,277354,Nairobi ,-3,,,,
15,277372,Nairobi ,Back Home^,,Reunify with family or return to homeland,,
16,277374,Nairobi ,-1,,,,
17,277415,Nairobi ,Ancestral Land^,,Reunify with family or return to homeland,,
18,277420,Nairobi ,-1,,,,
19,277424,Nairobi ,None ^,,,,
20,277425,Nairobi ,My Father'S Land ^,My father's land is there.,Available land or improved living conditions,,
21,277426,Nairobi ,The Culture ^,The culture there.,"Exposure to activity, amenities, and culture",,
22,277444,Nairobi ,It Has Good Has Prime Plots And Fertile Land^,It has prime plots and fertile land.,Improved work or economic opportunities,"Environment, geography, or natural landscape",
23,277446,Nairobi ,-3,,,,
24,277459,Nairobi ,Dream Place ^,,Personal preference or change,,
25,277462,Nairobi ,Urban Life Is Great ^,The urban life is great.,"Exposure to activity, amenities, and culture",,
26,277933,Accra ,I Have Lived There All My Life ^,,Reunify with family or return to homeland,,
27,278053,Accra ,I Like It Here^,,Familiarity or to remain in area,,
28,278067,Accra ,-3,,,,
29,278075,Nairobi ,None ^,,,,
30,278076,Accra ,It Is A Peaceful Area And Close To My Family Members ^,,"Peacefulness, safety, or cleanliness",,
31,278077,Accra ,I Want To Be Buried There^~I Want To Start A Farm There^,,To be buried there upon death,"Environment, geography, or natural landscape",
32,278081,Accra ,That Is Where I Come From And My Family Is There ^,That is where I come from. My family is there.,Reunify with family or return to homeland,Reunify with family or return to homeland,
33,278084,Accra ,-3,,,,
34,278086,Accra ,My House Is There ^,,Reunify with family or return to homeland,,
35,278087,Accra ,-3,,,,
36,278252,Nairobi ,-3,,,,
37,278253,Nairobi ,Na^,,,,
