,L1_orig,L2_orig,L3_orig,tuple_orig,count_orig,L1_edit,L2_edit,L3_edit
0,,,,"('', '', '')",1,,,
1, Exhibition ,Accra,Ghana,"(' Exhibition ', 'Accra', 'Ghana')",1,,,
2, Kawangware ,Nairobi,Kenya,"(' Kawangware ', 'Nairobi', 'Kenya')",1,,,
3, Kayole,Nairobi,Kenya,"(' Kayole', 'Nairobi', 'Kenya')",3,,,
4, Masimba Junction ,Nairobi,Kenya,"(' Masimba Junction ', 'Nairobi', 'Kenya')",1,,,
5, Old Fadama,Accra,Ghana,"(' Old Fadama', 'Accra', 'Ghana')",1,,,
6, Old Fadama ,Accra,Ghana,"(' Old Fadama ', 'Accra', 'Ghana')",2,,,
7, Siaya,Nairobi,Kenya,"(' Siaya', 'Nairobi', 'Kenya')",1,,,
8,(Chief Centre) Kayole,Nairobi,Kenya,"('(Chief Centre) Kayole', 'Nairobi', 'Kenya')",1,,,
9,(Noord),Amsterdam,Netherlands,"('(Noord)', 'Amsterdam', 'Netherlands')",1,,,
10,(Ramkonopi (Katlehogo),Germison,South Africa,"('(Ramkonopi (Katlehogo)', 'Germison', 'South Africa')",1,,,
11,-1,(.Engineers) Jamestown,Ghana,"('-1', '(.Engineers) Jamestown', 'Ghana')",1,,,
12,-1,-1,-1,"('-1', '-1', '-1')",2806,,,
13,-1,-1,Angola,"('-1', '-1', 'Angola')",2,,,
14,-1,-1,Bangladesh,"('-1', '-1', 'Bangladesh')",1,,,
15,-1,-1,Benin,"('-1', '-1', 'Benin')",5,,,
16,-1,-1,Burkina Faso,"('-1', '-1', 'Burkina Faso')",1,,,
17,-1,-1,Cameroon,"('-1', '-1', 'Cameroon')",2,,,
18,-1,-1,Congo-Brazzaville,"('-1', '-1', 'Congo-Brazzaville')",1,,,
19,-1,-1,Democratic Republic Of The Congo,"('-1', '-1', 'Democratic Republic Of The Congo')",13,,,
20,-1,-1,Ethiopia,"('-1', '-1', 'Ethiopia')",3,,,
21,-1,-1,Ghana,"('-1', '-1', 'Ghana')",82,,,
22,-1,-1,Ivory Coast,"('-1', '-1', 'Ivory Coast')",3,,,
23,-1,-1,Kenya,"('-1', '-1', 'Kenya')",18,,,
24,-1,-1,Lesotho,"('-1', '-1', 'Lesotho')",1,,,
25,-1,-1,Malawi,"('-1', '-1', 'Malawi')",1,,,
26,-1,-1,Mali,"('-1', '-1', 'Mali')",2,,,
27,-1,-1,Mozambique,"('-1', '-1', 'Mozambique')",10,,,
28,-1,-1,Niger,"('-1', '-1', 'Niger')",3,,,
29,-1,-1,Nigeria,"('-1', '-1', 'Nigeria')",32,,,
30,-1,-1,South Africa,"('-1', '-1', 'South Africa')",79,,,
31,-1,-1,South Sudan,"('-1', '-1', 'South Sudan')",2,,,
32,-1,-1,Sudan,"('-1', '-1', 'Sudan')",2,,,
33,-1,-1,Tanzania,"('-1', '-1', 'Tanzania')",2,,,
34,-1,-1,Togo,"('-1', '-1', 'Togo')",10,,,
35,-1,-1,Uganda,"('-1', '-1', 'Uganda')",1,,,
36,-1,-1,Zambia,"('-1', '-1', 'Zambia')",3,,,
37,-1,-1,Zimbabwe,"('-1', '-1', 'Zimbabwe')",10,,,
38,-1,-3,Ghana,"('-1', '-3', 'Ghana')",1,,,
39,-1,83 Nb,Pakistan,"('-1', '83 Nb', 'Pakistan')",1,,,
40,-1,95,Ethiopia,"('-1', '95', 'Ethiopia')",1,,,
41,-1,Abandze,Ghana,"('-1', 'Abandze', 'Ghana')",1,,,
42,-1,Aboabo No.2,Ghana,"('-1', 'Aboabo No.2', 'Ghana')",1,,,
43,-1,Abomey,Benin,"('-1', 'Abomey', 'Benin')",2,,,
44,-1,Abora,Ghana,"('-1', 'Abora', 'Ghana')",1,,,
45,-1,Abrewankor,Ghana,"('-1', 'Abrewankor', 'Ghana')",1,,,
46,-1,Aburi,Ghana,"('-1', 'Aburi', 'Ghana')",1,,,
47,-1,Accra,Ghana,"('-1', 'Accra', 'Ghana')",2053,,,
48,-1,Accra New Town,Ghana,"('-1', 'Accra New Town', 'Ghana')",1,,,
49,-1,Accra Newtown,Ghana,"('-1', 'Accra Newtown', 'Ghana')",1,,,
50,-1,Achol,South Sudan,"('-1', 'Achol', 'South Sudan')",1,,,
51,-1,Adanse Fumso,Ghana,"('-1', 'Adanse Fumso', 'Ghana')",1,,,
52,-1,Addis Ababa,Ethiopia,"('-1', 'Addis Ababa', 'Ethiopia')",1,,,
53,-1,Addis Abbaba,Ethiopia,"('-1', 'Addis Abbaba', 'Ethiopia')",1,,,
54,-1,Adeisu,Ghana,"('-1', 'Adeisu', 'Ghana')",1,,,
55,-1,Adenta,Ghana,"('-1', 'Adenta', 'Ghana')",1,,,
56,-1,Adenta Pharmacy,Ghana,"('-1', 'Adenta Pharmacy', 'Ghana')",1,,,
57,-1,Adeta,Togo,"('-1', 'Adeta', 'Togo')",1,,,
58,-1,Adidogome,Togo,"('-1', 'Adidogome', 'Togo')",1,,,
59,-1,Adieso,Ghana,"('-1', 'Adieso', 'Ghana')",1,,,
60,-1,Adoukrom,Togo,"('-1', 'Adoukrom', 'Togo')",1,,,
61,-1,Afipo,Nigeria,"('-1', 'Afipo', 'Nigeria')",1,,,
62,-1,Agbara,Nigeria,"('-1', 'Agbara', 'Nigeria')",1,,,
63,-1,Agblogame,Togo,"('-1', 'Agblogame', 'Togo')",1,,,
64,-1,Agboville,Cote D'Ivoire,"('-1', 'Agboville', ""Cote D'Ivoire"")",1,,,
65,-1,Agbozume,Ghana,"('-1', 'Agbozume', 'Ghana')",1,,,
