index,203b_theme,205c_theme,207b_theme,210b_theme,215_theme,217_theme,count
276785,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276788,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276802,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276814,Kin,Work,Work,Education,(No Answer),(No Answer),1
276822,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276931,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276932,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276934,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
276935,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277079,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277213,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277290,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
277291,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
277321,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277354,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277372,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277374,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277415,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277420,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277424,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277425,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277426,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277444,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277446,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277459,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277462,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
277933,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278053,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278067,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278075,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278076,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278077,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278081,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278084,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278086,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278087,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278252,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278253,Work,Work,(No Answer),(No Answer),(No Answer),(No Answer),1
