city,theme,total,203b,205c,207b,210b,215,217
Accra ,(No Answer),2854,294.0,445.0,442.0,537.0,568.0,568.0
Accra ,Education,61,40.0,11.0,6.0,2.0,1.0,1.0
Accra ,Housing,38,6.0,17.0,5.0,8.0,0.0,2.0
Accra ,Kin,138,74.0,28.0,23.0,9.0,3.0,1.0
Accra ,Remain,1,0.0,0.0,0.0,0.0,0.0,1.0
Accra ,Restart,7,2.0,2.0,2.0,0.0,0.0,1.0
Accra ,Safety,7,2.0,3.0,0.0,1.0,0.0,1.0
Accra ,Work,377,163.0,75.0,103.0,24.0,9.0,3.0
Johannesburg,(No Answer),2721,263.0,469.0,468.0,499.0,511.0,511.0
Johannesburg,Education,15,9.0,2.0,3.0,1.0,0.0,0.0
Johannesburg,Housing,43,26.0,7.0,5.0,4.0,1.0,0.0
Johannesburg,Kin,91,61.0,16.0,10.0,3.0,1.0,0.0
Johannesburg,Remain,1,0.0,0.0,0.0,0.0,0.0,1.0
Johannesburg,Restart,9,3.0,3.0,2.0,0.0,0.0,1.0
Johannesburg,Safety,6,6.0,0.0,0.0,0.0,0.0,0.0
Johannesburg,Work,204,147.0,18.0,27.0,8.0,2.0,2.0
Nairobi ,(No Answer),2756,264.0,446.0,447.0,519.0,540.0,540.0
Nairobi ,Education,72,41.0,14.0,10.0,5.0,1.0,1.0
Nairobi ,Housing,58,34.0,8.0,11.0,4.0,1.0,0.0
Nairobi ,Kin,69,41.0,11.0,15.0,2.0,0.0,0.0
Nairobi ,Remain,2,0.0,0.0,0.0,0.0,0.0,2.0
Nairobi ,Restart,10,3.0,4.0,2.0,1.0,0.0,0.0
Nairobi ,Safety,19,11.0,4.0,3.0,1.0,0.0,0.0
Nairobi ,Work,302,154.0,61.0,60.0,16.0,6.0,5.0
