index,SITE_CODE,8 Identify City ,203a Reason for Location,203b Specify Other,203b_edt_reason,203b_cat_reason,203b_gen_reason,203b_theme,203b,205b Reason for leaving,205c Specify Other,205c_edt_reason,205c_cat_reason,205c_gen_reason,205c_theme,205c,207a Reason for Choosing Location,207b Specify other,207b_edt_reason,207b_cat_reason,207b_gen_reason,207b_theme,207b,210a Reason for Leaving,210b Specify other,210b_edt_reason,210b_cat_reason,210b_gen_reason,210b_theme,210b,215 Reason for choosing location,215 Specify other,215_edt_reason,215_cat_reason,215_gen_reason,215_theme,215,216 Relations,217 Reason for leaving,217_edt_reason,217_cat_reason,217_gen_reason,217_theme,217
276785,276785,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276788,276788,Nairobi ,-3,-3,-3,,,(No Answer),-3,-3,-3,-3,,,(No Answer),-3,-3,-3,-3,,,(No Answer),-3,-3,-3,-3,,,(No Answer),-3,-3,-3,-3,,,(No Answer),-3,-3,-3,-3,,,(No Answer),-3
276802,276802,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276814,276814,Nairobi ,Family reasons (unification / escape),-1,-1,,,Kin,Family reasons (unification / escape),Access to work,-1,-1,,,Work,Access to work,Access to work,-1,-1,,,Work,Access to work,Education (for self or others) ,-1,-1,,,Education,Education (for self or others) ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276822,276822,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276931,276931,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276932,276932,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276934,276934,Nairobi ,Education (for self or others),-1,-1,,,Education,Education (for self or others),-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
276935,276935,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277079,277079,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277213,277213,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277290,277290,Nairobi ,Access to work,-1,-1,,,Work,Access to work,Other (specify),to start business,to start business,New business or expansion,New business or expansion,Work,New business or expansion,Other (specify),To Start A Business,To Start A Business,New business or expansion,New business or expansion,Work,New business or expansion,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277291,277291,Nairobi ,Access to work,-1,-1,,,Work,Access to work,Access to work,-1,-1,,,Work,Access to work,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277321,277321,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277354,277354,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277372,277372,Nairobi ,Family reasons (unification / escape),-1,-1,,,Kin,Family reasons (unification / escape),-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277374,277374,Nairobi ,Cost of rent (too high& somewhere else much cheaper),-1,-1,,,Housing,Cost of rent (too high& somewhere else much cheaper),-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277415,277415,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277420,277420,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277424,277424,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277425,277425,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277426,277426,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277444,277444,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277446,277446,Nairobi ,Evicted,-1,-1,,,Housing,Evicted,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277459,277459,Nairobi ,Education (for self or others),-1,-1,,,Education,Education (for self or others),-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277462,277462,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
277933,277933,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278053,278053,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278067,278067,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278075,278075,Nairobi ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278076,278076,Accra ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278077,278077,Accra ,Access to work,-1,-1,,,Work,Access to work,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278081,278081,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278084,278084,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278086,278086,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278087,278087,Accra ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278252,278252,Nairobi ,Cost of rent (too high& somewhere else much cheaper),-1,-1,,,Housing,Cost of rent (too high& somewhere else much cheaper),-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278253,278253,Nairobi ,Access to work,-1,-1,,,Work,Access to work,Access to work,-1,-1,,,Work,Access to work,DK/RA,-1,-1,,,(No Answer),DK/RA,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278259,278259,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278260,278260,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278262,278262,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
278267,278267,Nairobi ,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1,-1,-1,-1,,,(No Answer),-1
