,ID,location,location_l,location_near,location_country,lat,lon,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,total_spread,225_1,225_2,225_3,225_4,225_5,225_6,225_7,225_8,311_1,311_2,311_3,311_4,311_5,311_6,321_1,321_2,321_3,321_4,340_1,340_2,340_3,340_4,343_1,343_2,343_3,225_1_lat,225_2_lat,225_3_lat,225_4_lat,225_5_lat,225_6_lat,225_7_lat,225_8_lat,311_1_lat,311_2_lat,311_3_lat,311_4_lat,311_5_lat,311_6_lat,321_1_lat,321_2_lat,321_3_lat,321_4_lat,340_1_lat,340_2_lat,340_3_lat,340_4_lat,343_1_lat,343_2_lat,343_3_lat,225_1_lon,225_2_lon,225_3_lon,225_4_lon,225_5_lon,225_6_lon,225_7_lon,225_8_lon,311_1_lon,311_2_lon,311_3_lon,311_4_lon,311_5_lon,311_6_lon,321_1_lon,321_2_lon,321_3_lon,321_4_lon,340_1_lon,340_2_lon,340_3_lon,340_4_lon,343_1_lon,343_2_lon,343_3_lon
0,289109,"('Madina', 'Accra', 'Ghana')",Madina,Accra,Ghana,-0.1677052,5.6864962,Accra,Madina,Ghana,Male,Working part-time (formal/informal sector),1,Working part-time (formal/informal sector),Yes,Akan,Twi,No,No,Yes,,,19905.27444839396,"('Liverpool', 'Liverpool', 'United Kingdom')","('Johannesburg', 'Johannesburg', 'South Africa')","('Akropong', 'Koforidua', 'Ghana')",,,,,,,,,,,,"('Johannesburg', 'Johannesburg', 'South Africa')","('Liverpool', 'Liverpool', 'United Kingdom')",,,,,,,,,,-2.99168,28.049722,-0.0891666999999999,,,,,,,,,,,,28.049722,-2.99168,,,,,,,,,,53.40719910000001,-26.205,5.9705603,,,,,,,,,,,,-26.205,53.40719910000001,,,,,,,,,
1,282916,"('Madina', 'Accra', 'Ghana')",Madina,Accra,Ghana,-0.1677052,5.6864962,Accra,Madina,Ghana,Female,Other,2,Unemployed,Yes,Bono,Bono ,No,No,Yes,,,17375.03761610148,"('Brooklyn', 'New York', 'United States')",,,,,,,,,,,,,,"('Brooklyn', 'New York', 'United States')",,,,"('Berekum', 'Sunyani', 'Ghana')",,,,,,,-73.94972109999999,,,,,,,,,,,,,,-73.94972109999999,,,,-2.5824981,,,,,,,40.6526006,,,,,,,,,,,,,,40.6526006,,,,7.450473,,,,,,
2,283343,"('Madina', 'Accra', 'Ghana')",Madina,Accra,Ghana,-0.1677052,5.6864962,Accra,Madina,Ghana,Female,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),Yes,Ga,Ga,No,No,Yes,,,17072.69146247657,"('North Kaneshie', 'Accra', 'Ghana')","('Agbogba', 'Accra', 'Ghana')","('New York', 'nan', 'United States')",,,,,,,,,,,,"('New York', 'nan', 'United States')",,,,,,,,,,,-0.2348376,-0.1984465,-74.0060152,,,,,,,,,,,,-74.0060152,,,,,,,,,,,5.587640599999999,5.6918579000000005,40.7127281,,,,,,,,,,,,40.7127281,,,,,,,,,,
3,289116,"('Madina', 'Accra', 'Ghana')",Madina,Accra,Ghana,-0.1677052,5.6864962,Accra,Madina,Ghana ,Male,Working full-time (formal/informal sector),0,Casual employment/temporary worker,Yes,Basare,Basare,No,Yes,Yes,21.579865033129003,0.424357027820577,15331.230208075578,"('London', 'London', 'United Kingdom')","('London', 'London', 'United Kingdom')",,,,,,,"('Danfa', 'Accra', 'Ghana')","('James Town', 'Accra', 'Ghana')",,,,,"('London', 'London', 'United Kingdom')",,,,,,,,,,,-0.1276474,-0.1276474,,,,,,,-0.1588963,-0.2103637,,,,,-0.1276474,,,,,,,,,,,51.5073219,51.5073219,,,,,,,5.7903236,5.535796599999999,,,,,51.5073219,,,,,,,,,,
4,284135,"('James Town', 'Accra', 'Ghana')",James Town,Accra,Ghana,-0.2103637,5.535796599999999,Accra,James Town,Nigeria ,Female,Unemployed ,3,Unemployed,No,Yuroba,Yuroba ,No,No,No,0.0,0.0,14020.708689932466,"('Dr', 'Dk', 'Germany')","('Maryland', 'Dk', 'United States')",,,,,,,,,,,,,,,,,,,,,,,,14.0648671,-76.9382069,,,,,,,,,,,,,,,,,,,,,,,,50.9640835,39.5162234,,,,,,,,,,,,,,,,,,,,,,,
5,288672,"('Madina', 'Accra', 'Ghana')",Madina,Accra,Ghana,-0.1677052,5.6864962,Accra,Madina,Togo,Male,University/technikon/correspondence student,3,University/technikon/correspondence student,No,Kotokoli,Kotokoli ,No,No,Yes,148.63973259319903,2.170388570108441,12925.295929521824,"('Romanina', 'Rome', 'Italy')","('Romanina', 'Rome', 'Italy')",,,,,,,,,,,,,"('Romanini', 'Rome', 'Italy')",,,,,,,,,,,12.5996071,12.5996071,,,,,,,,,,,,,11.9881921,,,,,,,,,,,41.8406386,41.8406386,,,,,,,,,,,,,44.1459389,,,,,,,,,,
6,284011,"('Old Fadama', 'Accra', 'Ghana')",Old Fadama,Accra,Ghana,-0.2225215999999999,5.5488671,Accra,Old Fadama,Nigeria,Female,Self-employed (run small business/income generation project),6,Self-employed (run small business/income generation project),No,Yuroba,Yuroba,No,Yes,No,641.0624465455691,0.1636660543428844,12333.250690428227,"('New York City', 'New York', 'United States')","('Kaduna', 'Kaduna', 'Nigeria')","('Wori', 'Wori', 'Nigeria')","('Lekki', 'Legon', 'Nigeria')",,,,,"('Akpakpava', 'Benin City', 'Nigeria')",,,,,,,,,,"('Teshie', 'Accra', 'Ghana')",,,,"('Saple Road', 'Benin City', 'Nigeria')",,,-74.0060152,7.853322599999999,8.3926,4.094739499999999,,,,,5.6347825,,,,,,,,,,-0.1135104,,,,5.6221058,,,40.7127281,10.3825318,6.7267,6.4123323,,,,,6.3431053,,,,,,,,,,5.5822343,,,,6.333058599999999,,
7,283607,"('James Town', 'Accra', 'Ghana')",James Town,Accra,Ghana,-0.2103637,5.535796599999999,Accra,James Town,Cameroon,Male,Self-employed (run small business/income generation project),6,Self-employed (run small business/income generation project),No,Nanga Eboko,Nanga,No,Yes,No,3527.491312781458,1.5244725379806126,12034.521309445265,"('Dk', 'Libreville', 'Gabon')","('Paris', 'Paris', 'France')","('Dk', 'Monaco', 'France')",,,,,,"('Kribi', 'kribi', 'Cameroon')",,,,,,,,,,,,,,,,,9.454001,2.3200410217200766,7.2184467,,,,,,9.892047402266869,,,,,,,,,,,,,,,,,0.390002,48.858889700000006,48.47862,,,,,,2.86557575,,,,,,,,,,,,,,,,
8,290683,"('Old Fadama', 'Accra', 'Ghana')",Old Fadama,Accra,Ghana,-0.2225215999999999,5.5488671,Accra,Old Fadama,Nigeria,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Bassa,Bassa,No,Yes,Yes,,,11994.895678262626,"('Ikeja', 'Lagos', 'Nigeria')","('Abuja', 'Abuja', 'Nigeria')","('London', 'London', 'United Kingdom')",,,,,,"('Ikeja', 'Lagos', 'Nigeria')",,,,,,"('London', 'London', 'United Kingdom')",,,,,,,,,,,3.3532040740949824,7.4892974,-0.1276474,,,,,,3.3532040740949824,,,,,,-0.1276474,,,,,,,,,,,6.6048591000000005,9.0643305,51.5073219,,,,,,6.6048591000000005,,,,,,51.5073219,,,,,,,,,,
9,289908,"('James Town', 'Accra', 'Ghana')",James Town,Accra,Ghana,-0.2103637,5.535796599999999,Accra,James Town,Ghana,Male,Self-employed (run small business/income generation project),7,Self-employed (run small business/income generation project),Yes,Mamprusi,Mampruli,No,Yes,No,18.00066082608373,0.039672410098227,11331.301534767732,"('Tema', 'Accra', 'Ghana')","('Ohio', 'Ohio', 'United States')","('Kasoa', 'Accra', 'Ghana')","('Achimota', 'Accra', 'Ghana')",,,,,"('Talensi', 'Bolgatanga', 'Ghana')","('Talensi', 'Bolgatanga', 'Ghana')","('Tarkwa', 'Tarkwa', 'Ghana')",,,,,,,,,,,,"('Adenta', 'Accra', 'Ghana')","('Kasoa', 'Accra', 'Ghana')","('Talensi', 'Bolgatanga', 'Ghana')",-0.0096592,-82.6881395,-0.4374909999999999,-0.2276807,,,,,-0.62587443176215,-0.62587443176215,-1.6360992,,,,,,,,,,,,-0.1687965,-0.4374909999999999,-0.62587443176215,5.6596441,40.2253569,5.532573,5.6242019,,,,,10.64510575,10.64510575,6.7250359,,,,,,,,,,,,5.7041391,5.532573,10.64510575
