,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
0,Nairobi,"('Kisii', 'Kisii', 'Kenya')",15,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",0,Nairobi,Kenya,Kisii,Kisii
1,Nairobi,"('Kisii', 'Kisii', 'Kenya')",15,226.95541672778117,2.9221338783085686,34.75398551201732,-0.73894255,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",0,"('Kisii', 'Kisii', 'Kenya')",Kenya,Kisii,Kisii
2,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",13,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,Nairobi,Kenya,Kisumu,Kisumu
3,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",13,245.8051419309156,2.6882632231563743,34.7541761,-0.10291089999999999,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,"('Kisumu', 'Kisumu', 'Kenya')",Kenya,Kisumu,Kisumu
4,Nairobi,"('Machakos', 'Machakos', 'Kenya')",10,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",2,Nairobi,Kenya,Machakos,Machakos
5,Nairobi,"('Machakos', 'Machakos', 'Kenya')",10,71.4290855789395,-0.0006713596871269718,37.39526976452546,-1.27900465,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",2,"('Machakos', 'Machakos', 'Kenya')",Kenya,Machakos,Machakos
6,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",8,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",3,Nairobi,Democratic Republic of the Congo,Uvira,Uvira
7,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",8,895.5754022189934,-2.9291268188875375,29.00714088737295,-3.1982504,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",3,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Uvira,Uvira
8,Nairobi,"('Siaya', 'Siaya', 'Kenya')",7,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",4,Nairobi,Kenya,Siaya,Siaya
9,Nairobi,"('Siaya', 'Siaya', 'Kenya')",7,303.8985468539849,2.763088603861669,34.20013500999629,-0.06040135,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",4,"('Siaya', 'Siaya', 'Kenya')",Kenya,Siaya,Siaya
10,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",5,Nairobi,Democratic Republic of the Congo,Bukavu,Bukavu
11,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",5,903.9670414077232,-3.006390465001477,28.8336436,-2.51039075,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",5,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Bukavu,Bukavu
