,respondentID,birthyear,age,duration,interval,location_name,location_type,location_latlon,distance_from_origin_location_km,distance_from_previous_location_km,distance_from_properties_owned_km,mother_tongue,n_moves,work_type,employment_status,work_aspiration,financial_support,children,children_since_leaving,p_kmGeo,p_kmGrC,O_kmGeo,O_kmGrC,lat,lon
276785.0,276785,1996,25,0,204,"('Kawango', 'Kisumu', 'Kenya')",origin,"(0.0, 31.983333000000002)",0,0,,Dhluo,2,-3,-3,-3,,No,-1,0,0,0,0,0.0,31.983333000000002
276785.01,276785,1996,25,204,48,"('Manyatta', 'Kisumu', 'Kenya')",1st migration location,"(0.33330859999999995, 34.4813935)",280.51293627026627,280.51293627026627,,Dhluo,2,-3,-3,-3,,No,-1,280.51293627026627,280.23213900618,280.51293627026627,280.23213900618,0.33330859999999995,34.4813935
276785.02,276785,1996,25,252,51,"('Kawangware', 'Nairobi', 'Kenya')",2nd migration location,"(-1.2784631000000002, 36.751643)",549.2654522462321,309.22977087783636,,Dhluo,2,-3,-3,-3,,No,-1,309.22977087783636,309.57698223755267,549.2654522462321,548.896967528614,-1.2784631000000002,36.751643
276785.03,276785,1996,25,,,,3rd migration location,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276785.04,276785,1996,25,,,,4th migration location,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276785.05,276785,1996,25,303,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",549.2654522462321,0.0,,Dhluo,2,-3,-3,-3,,No,-1,0.0,0.0,549.2654522462321,548.896967528614,-1.2784631000000002,36.751643
276785.06,276785,1996,25,495,192,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",549.2654522462321,0.0,,Dhluo,2,-3,-3,-3,,No,-1,0.0,0.0,549.2654522462321,548.896967528614,-1.2784631000000002,36.751643
276785.07,276785,1996,25,501,6,,aspiration 2-6 months,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276785.08,276785,1996,25,519,18,,planned move 2 yrs,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276785.09,276785,1996,25,615,96,,planned move 10 yrs,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276785.1,276785,1996,25,735,120,,planned move retirement,,,,,Dhluo,2,-3,-3,-3,,No,-1,,,,,,
276802.0,276802,1994,27,0,56,"('Machakos', 'Machakos', 'Kenya')",origin,"(-1.27900465, 37.39526976452546)",0,0,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,0,0,0,0,-1.27900465,37.39526976452546
276802.01,276802,1994,27,56,8,"('Utawala', 'Nairobi', 'Kenya')",1st migration location,"(-1.2776439, 36.973741306718594)",46.91297417420807,46.91297417420807,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,46.91297417420807,46.860470942513636,46.91297417420807,46.860470942513636,-1.2776439,36.973741306718594
276802.02,276802,1994,27,,,,2nd migration location,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.03,276802,1994,27,,,,3rd migration location,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.04,276802,1994,27,,,,4th migration location,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.05,276802,1994,27,64,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",71.63050475061574,24.717926886655476,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,24.717926886655476,24.690264056851714,71.63050475061574,71.5503338776516,-1.2784631000000002,36.751643
276802.06,276802,1994,27,68,4,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",71.63050475061574,0.0,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,0.0,0.0,71.63050475061574,71.5503338776516,-1.2784631000000002,36.751643
276802.07,276802,1994,27,74,6,,aspiration 2-6 months,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.08,276802,1994,27,92,18,,planned move 2 yrs,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.09,276802,1994,27,188,96,,planned move 10 yrs,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276802.1,276802,1994,27,308,120,,planned move retirement,,,,,Dholuo,3,-3,Doing casual jobs,Accountant,3000.0,No,-1,,,,,,
276814.0,276814,1988,33,0,300,"('Wathorego', 'Kisumu', 'Kenya')",origin,"(51.52066515, -0.14577657494447913)",0,0,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,0,0,0,0,51.52066515,-0.14577657494447913
276814.01,276814,1988,33,300,12,"('London', 'Nakuru', 'Kenya')",1st migration location,"(-1.228958, 34.807252000000005)",6708.197651957236,6708.197651957236,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,6708.197651957236,6722.4377200770705,6708.197651957236,6722.4377200770705,-1.228958,34.807252000000005
276814.02,276814,1988,33,312,7,"('Lolgoria', 'Narok', 'Kenya')",2nd migration location,"(-0.1673204, 35.591420299999996)",6637.893835274712,146.28459036318725,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,146.28459036318725,146.75583530064827,6637.893835274712,6651.230641981621,-0.1673204,35.591420299999996
276814.03,276814,1988,33,,,"('Londiani', 'Kericho', 'Kenya')",3rd migration location,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
