Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
"('nan', 'nan', 'nan')",Nairobi,Unclassified Village,Unclassified,Village,34,0.0,0.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0
"('Johannesburg', 'Johannesburg', 'South Africa')",Johannesburg,Urban Town,Urban,Town,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0
"('Kisumu', 'Kisumu', 'Kenya')",Nairobi,Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0
"('Madina', 'Accra', 'Ghana')",Accra,Urban City,Urban,City,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Nairobi,Non-Urban Village,Non-Urban,Village,17,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Lagos', 'Lagos', 'Nigeria')",Accra,Unclassified Town,Unclassified,Town,17,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
"('Tamale', 'Tamale', 'Ghana')",Accra,Urban Town,Urban,Town,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,7.0
"('Kisii', 'Kisii', 'Kenya')",Nairobi,Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
"('Machakos', 'Machakos', 'Kenya')",Nairobi,Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Johannesburg,Urban Village,Urban,Village,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,14.0
"('Siaya', 'Siaya', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,14,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Accra', 'Accra', 'Ghana')",Accra,Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
"('Niamey', 'Niamey', 'Niger')",Accra,Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.0
"('Lome', 'Lome', 'Togo')",Accra,Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0
