,Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
2,"('Kisumu', 'Kisumu', 'Kenya')",Nairobi,Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0
7,"('Kisii', 'Kisii', 'Kenya')",Nairobi,Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
8,"('Machakos', 'Machakos', 'Kenya')",Nairobi,Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
14,"('Kakamega', 'Kakamega', 'Kenya')",Nairobi,Urban Village,Urban,Village,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0
21,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
22,"('Busia', 'Busia', 'Kenya')",Nairobi,Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
30,"('Nyamira', 'Nyamira', 'Kenya')",Nairobi,Urban Village,Urban,Village,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
39,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0
43,"('Kiambu', 'Kiambu', 'Kenya')",Nairobi,Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
49,"('Nakuru', 'Nakuru', 'Kenya')",Nairobi,Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
50,"('Bungoma', 'Bungoma', 'Kenya')",Nairobi,Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
58,"('Meru', 'Meru', 'Kenya')",Nairobi,Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
72,"('Oyugis', 'Oyugis', 'Kenya')",Nairobi,Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
78,"('Goma', 'Goma', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
80,"('Thika', 'Thika', 'Kenya')",Nairobi,Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
