index,L1_Orig,L2_Orig,L3_Orig,tuple_orig,L1_Edit_Final,L1_chg,L2_Edit_Final,L2_chg,L3_Edit_Final,L3_chg,RR_100b_Edit,RR_101_Edit,CSR_Nbhd_Count,CSR_Nbhd_Edit,,CSR_Nbhd_Info,CSR_City_Count,CSR_City_Edit,,CSR_City_Info,CSR_Cnty_Count,CSR_Cnty_Edit,,CSR_Cnty_Info
4039,-3,-1,-1,"('-3', '-1', '-1')",-3,FALSE,-1,FALSE,-1,FALSE,,,10,-3,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
3976,-1,-1,-1,"('-1', '-1', '-1')",-1,FALSE,-1,FALSE,-1,FALSE,,,4395,-1,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
4363,46,-1,-1,"('46', '-1', '-1')",-16,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
852,99,-1,-1,"('99', '-1', '-1')",-16,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
2530,37 Military Hospital,-1,-1,"('37 Military Hospital', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
2075,Accra,-1,-1,"('Accra', '-1', '-1')",Accra,FALSE,Accra,TRUE,Ghana,TRUE,,,347,Accra,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
8538,Achimota,-1,-1,"('Achimota', '-1', '-1')",Achimota,FALSE,Accra,TRUE,Ghana,TRUE,,,1,Achimota,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
971,Adenta,-1,-1,"('Adenta', '-1', '-1')",Adenta,FALSE,Accra,TRUE,Ghana,TRUE,,,22,Adenta,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
124,Adenta Barrier,-1,-1,"('Adenta Barrier', '-1', '-1')",Adenta,TRUE,Accra,TRUE,Ghana,TRUE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
4879,Adenta Sda,-1,-1,"('Adenta Sda', '-1', '-1')",Adenta,TRUE,Accra,TRUE,Ghana,TRUE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
3278,Agbado,-1,-1,"('Agbado', '-1', '-1')",Agbado,FALSE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
6137,Agbogbloshi Market,-1,-1,"('Agbogbloshi Market', '-1', '-1')",Agbogbloshie,TRUE,Accra,TRUE,Ghana,TRUE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
1253,Alberton,-1,-1,"('Alberton', '-1', '-1')",Alberton,FALSE,-1,FALSE,-1,FALSE,,,29,Alberton,FALSE,,4395,-1,FALSE,,4395,-1,FALSE,
3437,Amadu In Jamestown,-1,-1,"('Amadu In Jamestown', '-1', '-1')",Jamestown,TRUE,Accra,TRUE,Ghana,TRUE,,,1,Jamestown,TRUE,Amadu,4395,-1,FALSE,,4395,-1,FALSE,
5700,Around Berea,-1,-1,"('Around Berea', '-1', '-1')",Berea,TRUE,Johannesburg,TRUE,South Africa,TRUE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
7808,Around Johannesburg,-1,-1,"('Around Johannesburg', '-1', '-1')",Johannesburg,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
3869,Around Neighborhood,-1,-1,"('Around Neighborhood', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
3006,Around Neighborhood (Katlehong),-1,-1,"('Around Neighborhood (Katlehong)', '-1', '-1')",Katlehong,TRUE,-1,FALSE,-1,FALSE,,,,,TRUE,,4395,-1,FALSE,,4395,-1,FALSE,
